Frequenza (Hz),Re(S21),Im(S21)
4045695695.696,-0.631,-0.643
4045805805.806,-0.632,-0.643
4045915915.916,-0.632,-0.639
4046026026.026,-0.635,-0.637
4046136136.136,-0.638,-0.639
4046246246.246,-0.639,-0.636
4046356356.356,-0.639,-0.634
4046466466.466,-0.643,-0.632
4046576576.577,-0.640,-0.631
4046686686.687,-0.643,-0.628
4046796796.797,-0.646,-0.627
4046906906.907,-0.646,-0.626
4047017017.017,-0.649,-0.626
4047127127.127,-0.648,-0.624
4047237237.237,-0.652,-0.623
4047347347.347,-0.650,-0.622
4047457457.457,-0.653,-0.618
4047567567.568,-0.654,-0.616
4047677677.678,-0.656,-0.616
4047787787.788,-0.656,-0.614
4047897897.898,-0.659,-0.613
4048008008.008,-0.661,-0.611
4048118118.118,-0.661,-0.610
4048228228.228,-0.663,-0.609
4048338338.338,-0.664,-0.608
4048448448.448,-0.666,-0.604
4048558558.559,-0.667,-0.604
4048668668.669,-0.667,-0.600
4048778778.779,-0.671,-0.602
4048888888.889,-0.670,-0.597
4048998998.999,-0.672,-0.598
4049109109.109,-0.674,-0.596
4049219219.219,-0.674,-0.592
4049329329.329,-0.676,-0.592
4049439439.439,-0.677,-0.591
4049549549.550,-0.678,-0.590
4049659659.660,-0.679,-0.589
4049769769.770,-0.683,-0.587
4049879879.880,-0.685,-0.586
4049989989.990,-0.686,-0.584
4050100100.100,-0.685,-0.583
4050210210.210,-0.685,-0.579
4050320320.320,-0.688,-0.580
4050430430.430,-0.687,-0.577
4050540540.541,-0.691,-0.575
4050650650.651,-0.691,-0.574
4050760760.761,-0.695,-0.573
4050870870.871,-0.693,-0.571
4050980980.981,-0.696,-0.571
4051091091.091,-0.696,-0.567
4051201201.201,-0.698,-0.565
4051311311.311,-0.700,-0.563
4051421421.421,-0.701,-0.562
4051531531.532,-0.702,-0.562
4051641641.642,-0.702,-0.559
4051751751.752,-0.702,-0.556
4051861861.862,-0.706,-0.558
4051971971.972,-0.705,-0.554
4052082082.082,-0.709,-0.554
4052192192.192,-0.710,-0.552
4052302302.302,-0.711,-0.550
4052412412.412,-0.713,-0.548
4052522522.523,-0.713,-0.547
4052632632.633,-0.713,-0.546
4052742742.743,-0.716,-0.542
4052852852.853,-0.717,-0.542
