# Time(us)	Voltage(mV)
921.536000	-520.950957
922.768000	-515.762810
924.000000	-529.496139
925.232000	-522.324290
926.464000	-514.694662
927.696000	-521.713919
928.928000	-517.441328
930.160000	-517.288736
931.392000	-516.373180
932.624000	-513.321329
933.856000	-536.057619
935.088000	-519.577624
936.320000	-513.168737
937.552000	-525.070956
938.784000	-523.850215
940.016000	-524.765770
941.248000	-516.373180
942.480000	-518.814661
943.712000	-518.509476
944.944000	-517.593921
946.176000	-519.730216
947.408000	-529.648732
948.640000	-531.479843
949.872000	-519.882809
951.104000	-516.983551
952.336000	-521.103549
953.568000	-514.542070
954.800000	-520.493179
956.032000	-527.359844
957.264000	-517.593921
958.496000	-522.629475
959.728000	-522.934660
960.960000	-533.768731
962.192000	-527.207251
963.424000	-506.607257
964.656000	-517.746513
965.888000	-514.847255
967.120000	-515.915403
968.352000	-516.525773
969.584000	-528.885769
970.816000	-511.337626
972.048000	-518.967254
973.280000	-530.411695
974.512000	-524.765770
975.744000	-524.460585
976.976000	-515.152440
978.208000	-519.730216
979.440000	-523.850215
980.672000	-513.321329
981.904000	-1007.415998
983.136000	-1021.454512
984.368000	-1017.029328
