Time	Channel C	Channel D
(ms)	(mV)	(mV)

1.09631997	71.57200623	-83.23618317
1.09635197	71.67577362	-84.44470978
1.09638397	70.77242279	-84.24329376
1.09641597	70.66865540	-84.04187012
1.09644797	71.37058258	-84.44470978
1.09647997	71.47434998	-84.34095764
1.09651197	71.27292633	-84.54237366
1.09654397	71.67577362	-84.14562988
1.09657597	71.07150269	-83.74279022
1.09660797	71.77342987	-84.24329376
1.09663997	71.27292633	-84.04187012
1.09667197	71.07150269	-84.14562988
1.09670397	70.97384644	-84.64614105
1.09673597	70.97384644	-84.34095764
1.09676797	70.36957550	-84.74378967
1.09679997	70.77242279	-83.84044647
1.09683197	71.37058258	-84.24329376
1.09686397	70.57099915	-85.25040436
1.09689597	70.36957550	-84.94522095
1.09692797	70.57099915	-85.04898071
1.09695997	70.66865540	-84.74378967
1.09699197	69.86907196	-84.54237366
1.09702397	70.36957550	-84.74378967
1.09705597	70.46723938	-84.64614105
1.09708797	70.46723938	-84.64614105
1.09711997	70.87007904	-85.04898071
1.09715197	70.36957550	-84.44470978
1.09718397	70.16815186	-84.14562988
1.09721597	70.77242279	-83.84044647
1.09724797	70.16815186	-84.94522095
1.09727997	70.46723938	-85.04898071
1.09731197	70.16815186	-85.54948425
1.09734397	69.86907196	-85.25040436
1.09737597	70.36957550	-85.54948425
1.09740797	69.86907196	-84.94522095
1.09743997	70.07049561	-85.54948425
1.09747197	69.66765594	-85.25040436
1.09750397	69.86907196	-84.74378967
1.09753597	70.16815186	-85.25040436
1.09756797	70.16815186	-85.54948425
1.09759997	69.66765594	-85.75090790
1.09763197	70.16815186	-85.25040436
1.09766397	69.86907196	-84.74378967
1.09769597	69.46623230	-84.94522095
1.09772797	69.86907196	-85.04898071
1.09775997	69.46623230	-85.65324402
1.09779197	69.66765594	-85.34806824
1.09782397	70.07049561	-85.34806824
1.09785597	69.06949615	-85.65324402
1.09788797	69.96673584	-85.25040436
1.09791997	69.76531219	-84.74378967
1.09795197	69.96673584	-84.84755707
1.09798397	69.06949615	-85.34806824
1.09801597	69.76531219	-85.25040436
1.09804797	69.26480865	-85.25040436
1.09807997	69.36857605	-85.45182800
1.09811197	68.76430511	-85.75090790
1.09814397	69.36857605	-85.85466766
1.09817597	69.16714478	-85.75090790
1.09820797	69.56999207	-85.25040436
1.09823997	68.86806488	-85.54948425
1.09827197	69.16714478	-85.75090790
1.09830397	68.56288147	-85.54948425
1.09833597	68.86806488	-85.45182800
1.09836797	69.16714478	-86.15374756
1.09839997	69.26480865	-85.85466766
1.09843197	69.26480865	-85.65324402
1.09846397	69.96673584	-85.25040436
1.09849597	68.86806488	-85.85466766
1.09852797	68.66664886	-85.45182800
1.09855997	68.96572876	-85.95233154
1.09859197	69.06949615	-85.85466766
1.09862397	68.86806488	-86.55659485
1.09865597	68.76430511	-85.85466766
1.09868797	69.16714478	-85.54948425
1.09871997	68.86806488	-85.85466766
1.09875197	68.96572876	-86.15374756
1.09878397	68.86806488	-86.45893860
1.09881597	68.36756897	-86.05609131
1.09884797	68.56288147	-85.85466766
1.09887997	68.76430511	-86.35517120
1.09891197	68.46521759	-86.15374756
1.09894397	69.36857605	-85.75090790
1.09897597	67.76329803	-86.05609131
1.09900797	68.96572876	-86.45893860
1.09903997	68.36756897	-87.26462555
1.09907197	68.86806488	-86.45893860
1.09910397	68.66664886	-86.35517120
1.09913597	68.36756897	-87.06320190
1.09916797	68.56288147	-85.85466766
1.09919997	68.56288147	-86.05609131
1.09923197	68.26380157	-86.66035461
1.09926397	68.16613770	-86.35517120
1.09929597	68.06237793	-86.75801849
1.09932797	68.46521759	-86.05609131
1.09935997	68.66664886	-86.55659485
1.09939197	68.56288147	-85.95233154
1.09942397	68.46521759	-86.86177826
1.09945597	67.66564178	-86.25751495
1.09948797	68.16613770	-86.35517120
1.09951997	68.36756897	-86.75801849
1.09955197	67.76329803	-87.06320190
1.09958397	68.16613770	-86.66035461
1.09961597	67.76329803	-86.95944214
1.09964797	68.16613770	-86.25751495
1.09967997	68.36756897	-86.45893860
1.09971197	67.86095428	-86.45893860
1.09974397	67.96472168	-86.66035461
1.09977597	67.96472168	-86.35517120
1.09980797	68.36756897	-86.55659485
1.09983997	67.86095428	-86.86177826
1.09987197	67.86095428	-86.95944214
1.09990397	67.96472168	-87.46604919
1.09993597	68.76430511	-86.45893860
1.09996797	67.56187439	-86.66035461
1.09999997	67.86095428	-86.95944214
1.10003197	67.46421051	-86.55659485
1.10006397	66.96371460	-87.16086578
1.10009597	67.26279449	-87.06320190
1.10012797	66.65853119	-87.46604919
1.10015997	67.26279449	-86.95944214
1.10019197	67.36045837	-87.56370544
1.10022397	67.76329803	-87.16086578
1.10025597	67.56187439	-87.46604919
1.10028797	67.15902710	-87.16086578
1.10031997	66.85994720	-87.86889648
1.10035197	66.26178741	-87.46604919
1.10038397	66.65853119	-87.66746521
1.10041597	67.15902710	-87.76512909
1.10044797	67.46421051	-87.96654510
1.10047997	66.65853119	-87.56370544
1.10051197	66.65853119	-87.26462555
1.10054397	67.06137085	-87.76512909
1.10057597	66.76228333	-87.76512909
1.10060797	66.56086731	-87.66746521
1.10063997	67.15902710	-88.16797638
1.10067197	67.15902710	-87.66746521
1.10070397	66.65853119	-87.96654510
1.10073597	65.65752411	-87.66746521
1.10076797	66.35945129	-87.56370544
1.10079997	66.45709991	-88.16797638
1.10083197	66.45709991	-88.07031250
1.10086397	66.56086731	-87.96654510
1.10089597	66.85994720	-88.07031250
1.10092797	65.85894012	-88.27172852
1.10095997	67.56187439	-87.66746521
1.10099197	66.56086731	-88.27172852
1.10102397	65.85894012	-88.36939240
1.10105597	66.15802002	-88.07031250
1.10108797	66.06037140	-87.56370544
1.10111997	66.35945129	-88.87600708
1.10115197	66.65853119	-87.86889648
1.10118397	66.65853119	-88.07031250
1.10121597	65.95660400	-87.86889648
1.10124797	65.25467682	-88.27172852
1.10127997	65.76128387	-88.27172852
1.10131197	66.06037140	-88.07031250
1.10134397	66.56086731	-88.16797638
1.10137597	65.85894012	-88.36939240
1.10140797	65.95660400	-88.47315979
1.10143997	66.65853119	-88.87600708
1.10147197	65.35844421	-87.56370544
1.10150397	66.15802002	-88.36939240
1.10153597	66.35945129	-89.37650299
1.10156797	65.15701294	-88.67457581
1.10159997	65.35844421	-89.17508698
1.10163197	65.15701294	-88.87600708
1.10166397	65.25467682	-88.87600708
1.10169597	65.25467682	-89.17508698
1.10172797	65.95660400	-88.27172852
1.10175997	65.45609283	-88.87600708
1.10179197	65.45609283	-88.67457581
1.10182397	65.85894012	-88.87600708
1.10185597	65.05935669	-89.07131958
1.10188797	65.65752411	-88.97365570
1.10191997	65.15701294	-88.67457581
1.10195197	65.45609283	-88.97365570
1.10198397	65.55986023	-89.57792664
1.10201597	64.65651703	-89.07131958
1.10204797	64.95559692	-88.77223969
1.10207997	65.05935669	-89.07131958
1.10211197	65.25467682	-89.47416687
1.10214397	64.55274963	-88.67457581
1.10217597	64.95559692	-88.27172852
1.10220797	64.75416565	-89.27274323
1.10223997	64.55274963	-89.27274323
1.10227197	64.65651703	-88.77223969
1.10230397	65.05935669	-89.37650299
1.10233597	64.15600586	-89.37650299
1.10236797	64.35742950	-89.47416687
1.10239997	64.35742950	-89.47416687
1.10243197	64.45508575	-89.37650299
1.10246397	64.55274963	-88.87600708
1.10249597	63.95458603	-89.67558289
1.10252797	64.45508575	-89.67558289
1.10255997	64.05225372	-90.18219757
1.10259197	64.05225372	-90.27985382
1.10262397	63.85082245	-89.57792664
1.10265597	64.95559692	-89.47416687
1.10268797	64.25366974	-89.57792664
1.10271997	63.85082245	-89.77935028
1.10275197	64.95559692	-89.07131958
1.10278397	63.95458603	-89.47416687
1.10281597	63.85082245	-89.57792664
1.10284797	64.25366974	-89.57792664
1.10287997	64.75416565	-89.57792664
1.10291197	63.95458603	-89.57792664
1.10294397	63.55174255	-90.27985382
1.10297597	63.45407867	-89.87701416
1.10300797	63.95458603	-89.47416687
1.10303997	63.75317001	-89.87701416
1.10307197	64.25366974	-89.37650299
1.10310397	63.65550613	-89.67558289
1.10313597	63.45407867	-89.67558289
1.10316797	64.55274963	-90.07843018
1.10319997	64.05225372	-90.07843018
1.10323197	63.95458603	-90.38361359
1.10326397	63.85082245	-90.78646088
1.10329597	63.85082245	-90.48127747
1.10332797	63.45407867	-90.38361359
1.10335997	63.25266266	-90.98788452
1.10339197	62.75216293	-90.48127747
1.10342397	63.25266266	-90.38361359
1.10345597	63.75317001	-90.38361359
1.10348797	63.85082245	-90.27985382
1.10351997	63.95458603	-90.58503723
1.10355197	63.75317001	-90.18219757
1.10358397	63.15499878	-89.98076630
1.10361597	62.55073547	-90.18219757
1.10364797	63.45407867	-90.27985382
1.10367997	63.05124283	-90.58503723
1.10371197	63.45407867	-90.07843018
1.10374397	63.15499878	-90.48127747
1.10377597	62.34931183	-90.48127747
1.10380797	62.75216293	-90.88412476
1.10383997	64.05225372	-90.07843018
1.10387197	62.34931183	-90.38361359
1.10390397	63.15499878	-89.57792664
1.10393597	62.84981537	-90.78646088
1.10396797	62.45307541	-90.78646088
1.10399997	62.84981537	-90.58503723
1.10403197	62.55073547	-90.78646088
1.10406397	62.34931183	-90.78646088
1.10409597	62.84981537	-90.58503723
1.10412797	63.45407867	-90.98788452
1.10415997	63.05124283	-90.38361359
1.10419197	62.55073547	-90.78646088
