C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_1st_resonator.son DE_EMBEDDED Lk=10.0
FREQUENCY (GHz), DB[S21]-2D_1st_resonator
7.59,-0.364721
7.592,-0.364658
7.594,-0.364595
7.596,-0.364532
7.598,-0.364469
7.6,-0.364406
7.602,-0.364343
7.604,-0.36428
7.606,-0.364217
7.608,-0.364154
7.61,-0.36409
7.612,-0.364027
7.614,-0.363963
7.616,-0.3639
7.618,-0.363836
7.62,-0.363772
7.622,-0.363709
7.624,-0.363645
7.626,-0.363581
7.628,-0.363517
7.63,-0.363453
7.632,-0.363389
7.634,-0.363325
7.636,-0.363261
7.638,-0.363197
7.64,-0.363133
7.642,-0.363068
7.644,-0.363004
7.646,-0.362939
7.648,-0.362875
7.65,-0.362811
7.652,-0.362746
7.654,-0.362681
7.656,-0.362617
7.658,-0.362552
7.66,-0.362487
7.662,-0.362422
7.664,-0.362358
7.666,-0.362293
7.668,-0.362228
7.67,-0.362163
7.672,-0.362098
7.674,-0.362033
7.676,-0.361968
7.678,-0.361903
7.68,-0.361838
7.682,-0.361772
7.684,-0.361707
7.686,-0.361642
7.688,-0.361577
7.69,-0.361511
7.692,-0.361446
7.694,-0.361381
7.696,-0.361315
7.698,-0.36125
7.7,-0.361184
7.702,-0.361119
7.704,-0.361053
7.706,-0.360988
7.708,-0.360922
7.71,-0.360857
7.712,-0.360791
7.714,-0.360725
7.716,-0.36066
7.718,-0.360594
7.72,-0.360528
7.722,-0.360463
7.724,-0.360397
7.726,-0.360331
7.728,-0.360266
7.73,-0.3602
7.732,-0.360134
7.734,-0.360069
7.736,-0.360003
7.738,-0.359937
7.74,-0.359871
7.742,-0.359806
7.744,-0.35974
7.746,-0.359674
7.748,-0.359608
7.75,-0.359543
7.752,-0.359477
7.754,-0.359411
7.756,-0.359346
7.758,-0.35928
7.76,-0.359214
7.762,-0.359149
7.764,-0.359083
7.766,-0.359017
7.768,-0.358952
7.77,-0.358886
7.772,-0.358821
7.774,-0.358755
7.776,-0.35869
7.778,-0.358624
7.78,-0.358559
7.782,-0.358493
7.784,-0.358428
7.786,-0.358363
7.788,-0.358297
7.79,-0.358232
7.792,-0.358167
7.794,-0.358102
7.796,-0.358036
7.798,-0.357971
7.8,-0.357906
7.802,-0.357841
7.804,-0.357776
7.806,-0.357712
7.808,-0.357647
7.81,-0.357582
7.812,-0.357517
7.814,-0.357453
7.816,-0.357388
7.818,-0.357324
7.82,-0.357259
7.822,-0.357195
7.824,-0.357131
7.826,-0.357066
7.828,-0.357002
7.83,-0.356938
7.832,-0.356874
7.834,-0.35681
7.836,-0.356747
7.838,-0.356683
7.84,-0.356619
7.842,-0.356556
7.844,-0.356493
7.846,-0.356429
7.848,-0.356366
7.85,-0.356303
7.852,-0.35624
7.854,-0.356177
7.856,-0.356115
7.858,-0.356052
7.86,-0.35599
7.862,-0.355927
7.864,-0.355865
7.866,-0.355803
7.868,-0.355741
7.87,-0.35568
7.872,-0.355618
7.874,-0.355556
7.876,-0.355495
7.878,-0.355434
7.88,-0.355373
7.882,-0.355312
7.884,-0.355251
7.886,-0.355191
7.888,-0.355131
7.89,-0.35507
7.892,-0.35501
7.894,-0.354951
7.896,-0.354891
7.898,-0.354832
7.9,-0.354772
7.902,-0.354714
7.904,-0.354655
7.906,-0.354596
7.908,-0.354538
7.91,-0.35448
7.912,-0.354422
7.914,-0.354364
7.916,-0.354307
7.918,-0.354249
7.92,-0.354193
7.922,-0.354136
7.924,-0.354079
7.926,-0.354023
7.928,-0.353967
7.93,-0.353912
7.932,-0.353856
7.934,-0.353801
7.936,-0.353746
7.938,-0.353692
7.94,-0.353638
7.942,-0.353584
7.944,-0.35353
7.946,-0.353477
7.948,-0.353424
7.95,-0.353372
7.952,-0.353319
7.954,-0.353268
7.956,-0.353216
7.958,-0.353165
7.96,-0.353114
7.962,-0.353064
7.964,-0.353014
7.966,-0.352964
7.968,-0.352915
7.97,-0.352866
7.972,-0.352817
7.974,-0.352769
7.976,-0.352722
7.978,-0.352675
7.98,-0.352628
7.982,-0.352582
7.984,-0.352536
7.986,-0.352491
7.988,-0.352446
7.99,-0.352402
7.992,-0.352358
7.994,-0.352315
7.996,-0.352272
7.998,-0.35223
8,-0.352188
8.002,-0.352147
8.004,-0.352107
8.006,-0.352067
8.008,-0.352028
8.01,-0.351989
8.012,-0.351951
8.014,-0.351913
8.016,-0.351876
8.018,-0.35184
8.02,-0.351805
8.022,-0.35177
8.024,-0.351736
8.026,-0.351703
8.028,-0.35167
8.03,-0.351638
8.032,-0.351607
8.034,-0.351577
8.036,-0.351547
8.038,-0.351518
8.04,-0.35149
8.042,-0.351463
8.044,-0.351437
8.046,-0.351412
8.048,-0.351387
8.05,-0.351364
8.052,-0.351341
8.054,-0.351319
8.056,-0.351299
8.058,-0.351279
8.06,-0.35126
8.062,-0.351243
8.064,-0.351226
8.066,-0.351211
8.068,-0.351197
8.07,-0.351183
8.072,-0.351171
8.074,-0.35116
8.076,-0.351151
8.078,-0.351142
8.08,-0.351135
8.082,-0.351129
8.084,-0.351125
8.086,-0.351122
8.088,-0.35112
8.09,-0.35112
8.092,-0.351121
8.094,-0.351123
8.096,-0.351128
8.098,-0.351133
8.1,-0.351141
8.102,-0.351149
8.104,-0.35116
8.106,-0.351172
8.108,-0.351186
8.11,-0.351202
8.112,-0.35122
8.114,-0.351239
8.116,-0.351261
8.118,-0.351284
8.12,-0.35131
8.122,-0.351337
8.124,-0.351367
8.126,-0.351399
8.128,-0.351433
8.13,-0.351469
8.132,-0.351508
8.134,-0.351549
8.136,-0.351593
8.138,-0.351639
8.14,-0.351688
8.142,-0.351739
8.144,-0.351793
8.146,-0.351851
8.148,-0.35191
8.15,-0.351973
8.152,-0.352039
8.154,-0.352108
8.156,-0.352181
8.158,-0.352257
8.16,-0.352336
8.162,-0.352418
8.164,-0.352505
8.166,-0.352594
8.168,-0.352688
8.17,-0.352786
8.172,-0.352888
8.174,-0.352994
8.176,-0.353104
8.178,-0.353219
8.18,-0.353338
8.182,-0.353462
8.184,-0.353591
8.186,-0.353725
8.188,-0.353864
8.19,-0.354009
8.192,-0.354159
8.194,-0.354314
8.196,-0.354476
8.198,-0.354644
8.2,-0.354818
8.202,-0.354998
8.204,-0.355185
8.206,-0.355379
8.208,-0.35558
8.21,-0.355789
8.212,-0.356006
8.214,-0.35623
8.216,-0.356463
8.218,-0.356704
8.22,-0.356954
8.222,-0.357214
8.224,-0.357482
8.226,-0.357761
8.228,-0.358051
8.23,-0.358351
8.232,-0.358662
8.234,-0.358984
8.236,-0.359319
8.238,-0.359666
8.24,-0.360027
8.242,-0.360401
8.244,-0.360789
8.246,-0.361192
8.248,-0.36161
8.25,-0.362045
8.252,-0.362496
8.254,-0.362965
8.256,-0.363453
8.258,-0.363959
8.26,-0.364486
8.262,-0.365034
8.264,-0.365604
8.266,-0.366198
8.268,-0.366815
8.27,-0.367459
8.272,-0.368129
8.274,-0.368827
8.276,-0.369555
8.278,-0.370315
8.28,-0.371108
8.282,-0.371935
8.284,-0.372799
8.286,-0.373703
8.288,-0.374647
8.29,-0.375635
8.292,-0.376669
8.294,-0.377752
8.296,-0.378887
8.298,-0.380077
8.3,-0.381326
8.302,-0.382638
8.304,-0.384016
8.306,-0.385465
8.308,-0.386991
8.31,-0.388598
8.312,-0.390292
8.314,-0.39208
8.316,-0.393969
8.318,-0.395965
8.32,-0.398078
8.322,-0.400317
8.324,-0.402692
8.326,-0.405214
8.328,-0.407896
8.33,-0.410751
8.332,-0.413794
8.334,-0.417044
8.336,-0.420518
8.338,-0.424238
8.34,-0.428228
8.342,-0.432514
8.344,-0.437128
8.346,-0.442103
8.348,-0.447478
8.35,-0.453297
8.352,-0.45961
8.354,-0.466475
8.356,-0.473958
8.358,-0.482133
8.36,-0.491088
8.362,-0.500924
8.364,-0.511756
8.366,-0.523721
8.368,-0.536974
8.37,-0.551698
8.372,-0.568105
8.374,-0.586442
8.376,-0.606995
8.378,-0.630092
8.38,-0.656107
8.382,-0.685462
8.384,-0.718614
8.386,-0.756041
8.388,-0.798203
8.39,-0.845465
8.392,-0.897981
8.394,-0.955495
8.396,-1.01706
8.398,-1.08066
8.4,-1.14286
8.402,-1.19856
8.404,-1.24127
8.406,-1.26417
8.408,-1.26187
8.41,-1.23246
8.412,-1.17843
8.414,-1.10605
8.416,-1.02333
8.418,-0.937861
8.42,-0.855408
8.422,-0.779556
8.424,-0.712007
8.426,-0.653141
