C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_sonnet_new.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_sonnet_new
13.732,-0.930503
13.734,-0.930033
13.736,-0.929562
13.738,-0.929092
13.74,-0.928622
13.742,-0.928152
13.744,-0.927683
13.746,-0.927213
13.748,-0.926744
13.75,-0.926274
13.752,-0.925805
13.754,-0.925336
13.756,-0.924868
13.758,-0.924399
13.76,-0.923931
13.762,-0.923463
13.764,-0.922995
13.766,-0.922527
13.768,-0.922059
13.77,-0.921592
13.772,-0.921125
13.774,-0.920658
13.776,-0.920191
13.778,-0.919725
13.78,-0.919258
13.782,-0.918792
13.784,-0.918326
13.786,-0.91786
13.788,-0.917395
13.79,-0.916929
13.792,-0.916464
13.794,-0.916
13.796,-0.915535
13.798,-0.915071
13.8,-0.914606
13.802,-0.914142
13.804,-0.913679
13.806,-0.913215
13.808,-0.912752
13.81,-0.912289
13.812,-0.911827
13.814,-0.911364
13.816,-0.910902
13.818,-0.91044
13.82,-0.909978
13.822,-0.909517
13.824,-0.909056
13.826,-0.908595
13.828,-0.908134
13.83,-0.907674
13.832,-0.907214
13.834,-0.906754
13.836,-0.906295
13.838,-0.905836
13.84,-0.905377
13.842,-0.904919
13.844,-0.90446
13.846,-0.904002
13.848,-0.903545
13.85,-0.903088
13.852,-0.902631
13.854,-0.902174
13.856,-0.901718
13.858,-0.901262
13.86,-0.900806
13.862,-0.900351
13.864,-0.899896
13.866,-0.899441
13.868,-0.898987
13.87,-0.898533
13.872,-0.89808
13.874,-0.897627
13.876,-0.897174
13.878,-0.896721
13.88,-0.896269
13.882,-0.895818
13.884,-0.895366
13.886,-0.894916
13.888,-0.894465
13.89,-0.894015
13.892,-0.893565
13.894,-0.893116
13.896,-0.892667
13.898,-0.892219
13.9,-0.891771
13.902,-0.891324
13.904,-0.890877
13.906,-0.89043
13.908,-0.889984
13.91,-0.889538
13.912,-0.889093
13.914,-0.888648
13.916,-0.888204
13.918,-0.88776
13.92,-0.887316
13.922,-0.886874
13.924,-0.886431
13.926,-0.885989
13.928,-0.885548
13.93,-0.885107
13.932,-0.884667
13.934,-0.884227
13.936,-0.883788
13.938,-0.883349
13.94,-0.882911
13.942,-0.882473
13.944,-0.882036
13.946,-0.8816
13.948,-0.881164
13.95,-0.880728
13.952,-0.880294
13.954,-0.87986
13.956,-0.879426
13.958,-0.878993
13.96,-0.878561
13.962,-0.878129
13.964,-0.877698
13.966,-0.877268
13.968,-0.876838
13.97,-0.876409
13.972,-0.875981
13.974,-0.875553
13.976,-0.875126
13.978,-0.874699
13.98,-0.874274
13.982,-0.873849
13.984,-0.873425
13.986,-0.873001
13.988,-0.872579
13.99,-0.872157
13.992,-0.871735
13.994,-0.871315
13.996,-0.870895
13.998,-0.870477
14,-0.870058
14.002,-0.869641
14.004,-0.869225
14.006,-0.868809
14.008,-0.868395
14.01,-0.867981
14.012,-0.867568
14.014,-0.867156
14.016,-0.866744
14.018,-0.866334
14.02,-0.865925
14.022,-0.865516
14.024,-0.865109
14.026,-0.864702
14.028,-0.864297
14.03,-0.863892
14.032,-0.863488
14.034,-0.863086
14.036,-0.862684
14.038,-0.862284
14.04,-0.861884
14.042,-0.861486
14.044,-0.861089
14.046,-0.860692
14.048,-0.860297
14.05,-0.859903
14.052,-0.859511
14.054,-0.859119
14.056,-0.858728
14.058,-0.858339
14.06,-0.857951
14.062,-0.857564
14.064,-0.857179
14.066,-0.856794
14.068,-0.856411
14.07,-0.85603
14.072,-0.855649
14.074,-0.85527
14.076,-0.854893
14.078,-0.854516
14.08,-0.854141
14.082,-0.853768
14.084,-0.853396
14.086,-0.853025
14.088,-0.852656
14.09,-0.852289
14.092,-0.851923
14.094,-0.851559
14.096,-0.851196
14.098,-0.850835
14.1,-0.850475
14.102,-0.850117
14.104,-0.849761
14.106,-0.849407
14.108,-0.849054
14.11,-0.848703
14.112,-0.848354
14.114,-0.848006
14.116,-0.847661
14.118,-0.847317
14.12,-0.846976
14.122,-0.846636
14.124,-0.846298
14.126,-0.845963
14.128,-0.845629
14.13,-0.845298
14.132,-0.844968
14.134,-0.844641
14.136,-0.844316
14.138,-0.843993
14.14,-0.843672
14.142,-0.843354
14.144,-0.843038
14.146,-0.842725
14.148,-0.842414
14.15,-0.842105
14.152,-0.841799
14.154,-0.841496
14.156,-0.841195
14.158,-0.840897
14.16,-0.840601
14.162,-0.840308
14.164,-0.840018
14.166,-0.839731
14.168,-0.839447
14.17,-0.839166
14.172,-0.838888
14.174,-0.838612
14.176,-0.83834
14.178,-0.838072
14.18,-0.837806
14.182,-0.837544
14.184,-0.837285
14.186,-0.837029
14.188,-0.836777
14.19,-0.836529
14.192,-0.836284
14.194,-0.836043
14.196,-0.835806
14.198,-0.835573
14.2,-0.835344
14.202,-0.835118
14.204,-0.834897
14.206,-0.83468
14.208,-0.834467
14.21,-0.834259
14.212,-0.834055
14.214,-0.833856
14.216,-0.833661
14.218,-0.833471
14.22,-0.833286
14.222,-0.833106
14.224,-0.832931
14.226,-0.832761
14.228,-0.832596
14.23,-0.832437
14.232,-0.832283
14.234,-0.832135
14.236,-0.831993
14.238,-0.831857
14.24,-0.831726
14.242,-0.831602
14.244,-0.831484
14.246,-0.831373
14.248,-0.831268
14.25,-0.831171
14.2506,-0.83114
14.252,-0.83108
14.254,-0.830996
14.256,-0.830919
14.2571,-0.830879
14.258,-0.83085
14.26,-0.830789
14.262,-0.830735
14.2635,-0.8307
14.264,-0.83069
14.266,-0.830652
14.268,-0.830623
14.2697,-0.830606
14.27,-0.830603
14.272,-0.830592
14.274,-0.83059
14.2758,-0.830595
14.276,-0.830597
14.278,-0.830613
14.28,-0.83064
14.2817,-0.83067
14.282,-0.830677
14.284,-0.830724
14.286,-0.830781
14.2875,-0.83083
14.288,-0.83085
14.29,-0.83093
14.292,-0.831021
14.2931,-0.831078
14.294,-0.831125
14.296,-0.83124
14.298,-0.831369
14.2986,-0.831412
14.3,-0.83151
14.302,-0.831664
14.304,-0.831832
14.304,-0.831836
14.306,-0.832015
14.308,-0.832211
14.3093,-0.832348
14.31,-0.832423
14.312,-0.83265
14.314,-0.832894
14.3145,-0.832952
14.316,-0.833153
14.318,-0.83343
14.3195,-0.833648
14.32,-0.833723
14.322,-0.834035
14.324,-0.834366
14.3244,-0.834437
14.326,-0.834715
14.328,-0.835085
