Freq	I	Q
7.990150000000000000e+09	1.299933370000000074e-02	-5.699753000000000111e-03
7.990155000000000000e+09	1.298609579999999986e-02	-5.726830900000000335e-03
7.990160000000000000e+09	1.295953489999999986e-02	-5.747862700000000089e-03
7.990165000000000000e+09	1.294978739999999920e-02	-5.792926999999999799e-03
7.990170000000000000e+09	1.291272859999999939e-02	-5.829711999999999915e-03
7.990175000000000000e+09	1.289737309999999977e-02	-5.850139699999999665e-03
7.990180000000000000e+09	1.286851909999999974e-02	-5.864515300000000368e-03
7.990185000000000000e+09	1.286573839999999996e-02	-5.910568599999999929e-03
7.990190000000000000e+09	1.283432559999999993e-02	-5.945671999999999936e-03
7.990195000000000000e+09	1.280316180000000068e-02	-5.950590799999999798e-03
7.990200000000000000e+09	1.277677540000000077e-02	-5.991787600000000359e-03
7.990205000000000000e+09	1.277515140000000035e-02	-6.021204100000000087e-03
7.990210000000000000e+09	1.273132719999999982e-02	-6.053537700000000132e-03
7.990215000000000000e+09	1.271461810000000005e-02	-6.084765100000000260e-03
7.990220000000000000e+09	1.270405370000000055e-02	-6.081265800000000034e-03
7.990225000000000000e+09	1.265574189999999974e-02	-6.115650700000000058e-03
7.990230000000000000e+09	1.265201510000000043e-02	-6.164721599999999947e-03
7.990235000000000000e+09	1.261617949999999967e-02	-6.162891000000000202e-03
7.990240000000000000e+09	1.259846260000000058e-02	-6.221414800000000037e-03
7.990245000000000000e+09	1.258911319999999993e-02	-6.245857700000000297e-03
7.990250000000000000e+09	1.255766749999999952e-02	-6.273615500000000351e-03
7.990255000000000000e+09	1.251434660000000018e-02	-6.306945700000000238e-03
7.990260000000000000e+09	1.252098880000000053e-02	-6.339196000000000067e-03
7.990265000000000000e+09	1.247068989999999995e-02	-6.352024199999999586e-03
7.990270000000000000e+09	1.246188139999999944e-02	-6.369627299999999770e-03
7.990275000000000000e+09	1.245495859999999969e-02	-6.396866499999999921e-03
7.990280000000000000e+09	1.242808590000000005e-02	-6.411632500000000179e-03
7.990285000000000000e+09	1.240935410000000051e-02	-6.485344599999999862e-03
7.990290000000000000e+09	1.234820399999999978e-02	-6.479453900000000342e-03
7.990295000000000000e+09	1.232963519999999945e-02	-6.504768600000000386e-03
7.990300000000000000e+09	1.231355140000000084e-02	-6.544837999999999871e-03
7.990305000000000000e+09	1.229037539999999935e-02	-6.580281399999999593e-03
7.990310000000000000e+09	1.227604940000000082e-02	-6.595020600000000253e-03
7.990315000000000000e+09	1.223450899999999932e-02	-6.608753900000000070e-03
7.990320000000000000e+09	1.221992950000000064e-02	-6.640596700000000151e-03
7.990325000000000000e+09	1.220258259999999935e-02	-6.684541100000000041e-03
7.990330000000000000e+09	1.217511289999999996e-02	-6.700607600000000122e-03
7.990335000000000000e+09	1.214815129999999993e-02	-6.739557600000000391e-03
7.990340000000000000e+09	1.213295929999999925e-02	-6.742631699999999603e-03
7.990345000000000000e+09	1.210974440000000055e-02	-6.769580800000000141e-03
7.990350000000000000e+09	1.209117409999999927e-02	-6.817462300000000364e-03
7.990355000000000000e+09	1.203811039999999957e-02	-6.838262999999999807e-03
7.990360000000000000e+09	1.200217859999999984e-02	-6.867704999999999990e-03
7.990365000000000000e+09	1.198545439999999969e-02	-6.873882199999999630e-03
7.990370000000000000e+09	1.195209640000000073e-02	-6.890726699999999601e-03
7.990375000000000000e+09	1.195577280000000020e-02	-6.951377800000000176e-03
7.990380000000000000e+09	1.193904320000000081e-02	-6.958149299999999947e-03
7.990385000000000000e+09	1.191539030000000020e-02	-6.975713700000000378e-03
7.990390000000000000e+09	1.186123270000000000e-02	-7.021066599999999623e-03
7.990395000000000000e+09	1.185134290000000069e-02	-7.036076799999999888e-03
7.990400000000000000e+09	1.182540269999999942e-02	-7.069281699999999981e-03
7.990405000000000000e+09	1.180221799999999974e-02	-7.061254399999999584e-03
7.990410000000000000e+09	1.176976230000000012e-02	-7.115796399999999890e-03
7.990415000000000000e+09	1.171835469999999921e-02	-7.124397700000000000e-03
7.990420000000000000e+09	1.170711120000000015e-02	-7.172627099999999596e-03
7.990425000000000000e+09	1.168871590000000044e-02	-7.186147300000000036e-03
7.990430000000000000e+09	1.168723020000000078e-02	-7.234399300000000400e-03
