Freq	I	Q
5.045825000000000000e+09	1.466867539999999921e-02	2.411943509999999943e-02
5.046800000000000000e+09	2.219365339999999909e-02	1.737266449999999920e-02
5.047775000000000000e+09	2.684386379999999933e-02	8.441697200000000678e-03
5.048750000000000000e+09	2.805960760000000137e-02	-1.542093499999999976e-03
5.049725000000000000e+09	2.567625449999999879e-02	-1.130379490000000056e-02
5.050700000000000000e+09	2.002451829999999863e-02	-1.956873649999999951e-02
5.051675000000000000e+09	1.185236880000000055e-02	-2.529569419999999971e-02
5.052650000000000000e+09	2.254018999999999901e-03	-2.778838239999999876e-02
5.053625000000000000e+09	-7.642442000000000159e-03	-2.675459369999999906e-02
5.054600000000000000e+09	-1.647506259999999972e-02	-2.235151670000000076e-02
5.055575000000000000e+09	-2.326394440000000008e-02	-1.511332420000000010e-02
5.056550000000000000e+09	-2.707587159999999896e-02	-6.000338699999999831e-03
5.057525000000000000e+09	-2.739354659999999886e-02	3.890098700000000059e-03
5.058500000000000000e+09	-2.427949169999999920e-02	1.325222289999999914e-02
5.059475000000000000e+09	-1.803758650000000102e-02	2.094615149999999940e-02
5.060450000000000000e+09	-9.452895500000000825e-03	2.593032389999999979e-02
5.061425000000000000e+09	3.729366000000000235e-04	2.760446540000000004e-02
5.062400000000000000e+09	1.015183880000000011e-02	2.565634990000000004e-02
5.063375000000000000e+09	1.857085119999999853e-02	2.033145080000000118e-02
5.064350000000000000e+09	2.454418989999999912e-02	1.237878799999999994e-02
5.065325000000000000e+09	2.724933920000000009e-02	2.859904600000000123e-03
5.066300000000000000e+09	2.641047980000000087e-02	-6.984621400000000022e-03
5.067275000000000000e+09	2.215584359999999906e-02	-1.580778390000000047e-02
5.068250000000000000e+09	1.505122469999999914e-02	-2.255852280000000126e-02
5.069225000000000000e+09	6.083730800000000140e-03	-2.631826989999999991e-02
5.070200000000000000e+09	-3.566928400000000162e-03	-2.664706910000000026e-02
5.071175000000000000e+09	-1.264518790000000031e-02	-2.356791479999999911e-02
5.072150000000000000e+09	-2.003164610000000151e-02	-1.754728389999999846e-02
5.073125000000000000e+09	-2.479411269999999903e-02	-9.378917199999999704e-03
5.074100000000000000e+09	-2.638887570000000155e-02	-8.677220000000000245e-05
5.075075000000000000e+09	-2.466387540000000017e-02	9.076443999999999485e-03
5.076050000000000000e+09	-1.986231709999999873e-02	1.704782599999999856e-02
5.077025000000000000e+09	-1.262048099999999937e-02	2.283922830000000015e-02
5.078000000000000000e+09	-3.893244799999999971e-03	2.577259809999999859e-02
5.078975000000000000e+09	5.316747000000000140e-03	2.547351280000000051e-02
5.079950000000000000e+09	1.386641819999999935e-02	2.199569560000000021e-02
5.080925000000000000e+09	2.062834670000000120e-02	1.578393960000000137e-02
5.081900000000000000e+09	2.479911270000000056e-02	7.590081999999999732e-03
5.082875000000000000e+09	2.591075820000000168e-02	-1.535249999999999939e-03
5.083850000000000000e+09	2.374605529999999909e-02	-1.054162529999999945e-02
5.084825000000000000e+09	1.857170459999999898e-02	-1.817908420000000080e-02
5.085800000000000000e+09	1.104136919999999973e-02	-2.354566770000000170e-02
5.086775000000000000e+09	2.069460799999999802e-03	-2.591479890000000091e-02
5.087750000000000000e+09	-7.152516499999999992e-03	-2.498858970000000096e-02
5.088725000000000000e+09	-1.547958640000000018e-02	-2.087118610000000124e-02
5.089700000000000000e+09	-2.179815759999999963e-02	-1.410499240000000036e-02
5.090675000000000000e+09	-2.531180560000000079e-02	-5.551987799999999820e-03
5.091650000000000000e+09	-2.559255129999999864e-02	3.709829200000000059e-03
5.092625000000000000e+09	-2.263578930000000045e-02	1.244354320000000055e-02
5.093600000000000000e+09	-1.680558230000000000e-02	1.954407710000000131e-02
5.094575000000000000e+09	-8.810887999999999359e-03	2.410912429999999967e-02
5.095550000000000000e+09	1.549591000000000119e-04	2.558970929999999921e-02
5.096525000000000000e+09	9.066675600000000806e-03	2.384951299999999927e-02
