C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\Photon_count_2_V5_2D_mod.son DE_EMBEDDED Lk=14.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_mod
9.125,-0.0399397
9.15,-0.0400794
9.175,-0.0402195
9.2,-0.0403602
9.225,-0.0405013
9.25,-0.0406428
9.275,-0.0407847
9.3,-0.040927
9.325,-0.0410696
9.35,-0.0412126
9.375,-0.0413559
9.4,-0.0414994
9.425,-0.0416433
9.45,-0.0417875
9.475,-0.041932
9.5,-0.0420767
9.525,-0.0422217
9.55,-0.0423669
9.575,-0.0425124
9.6,-0.0426582
9.625,-0.0428042
9.65,-0.0429504
9.675,-0.0430969
9.7,-0.0432436
9.725,-0.0433906
9.75,-0.0435379
9.775,-0.0436854
9.8,-0.0438331
9.825,-0.0439814
9.85,-0.0441294
9.875,-0.0442778
9.9,-0.0444264
9.925,-0.0445752
9.95,-0.0447241
9.975,-0.0448732
10,-0.0450225
10.025,-0.045172
10.05,-0.0453215
10.075,-0.0454713
10.1,-0.0456212
10.125,-0.0457712
10.15,-0.0459214
10.175,-0.0460717
10.2,-0.0462221
10.225,-0.0463726
10.25,-0.0465233
10.275,-0.0466741
10.3,-0.0468251
10.325,-0.0469761
10.35,-0.0471273
10.375,-0.0472785
10.4,-0.0474299
10.425,-0.0475814
10.45,-0.047733
10.475,-0.0478847
10.5,-0.0480365
10.525,-0.0481883
10.55,-0.0483403
10.575,-0.0484924
10.6,-0.0486446
10.625,-0.0487969
10.65,-0.0489493
10.675,-0.0491017
10.7,-0.0492543
10.725,-0.0494069
10.75,-0.0495596
10.775,-0.0497125
10.8,-0.0498654
10.825,-0.0500184
10.85,-0.0501715
10.875,-0.0503246
10.9,-0.0504779
10.925,-0.0506312
10.95,-0.0507846
10.975,-0.0509382
11,-0.0510917
11.025,-0.0512454
11.05,-0.0513992
11.075,-0.051553
11.1,-0.0517069
11.125,-0.0518609
11.15,-0.052015
11.175,-0.0521692
11.2,-0.0523234
11.225,-0.0524777
11.25,-0.0526321
11.275,-0.0527866
11.3,-0.0529412
11.325,-0.0530958
11.35,-0.0532505
11.375,-0.0534053
11.4,-0.0535602
11.425,-0.0537151
11.45,-0.0538701
11.475,-0.0540252
11.5,-0.0541804
11.525,-0.0543356
11.55,-0.0544909
11.575,-0.0546466
11.6,-0.0548017
11.625,-0.0549571
11.65,-0.0551126
11.675,-0.0552682
11.7,-0.0554238
11.725,-0.0555794
11.75,-0.0557351
11.775,-0.0558908
11.8,-0.0560465
11.825,-0.0562024
11.85,-0.0563582
11.875,-0.0565141
11.9,-0.0566701
11.925,-0.0568261
11.95,-0.0569822
11.975,-0.0571383
12,-0.0572945
12.025,-0.0574507
12.05,-0.057607
12.075,-0.0577634
12.1,-0.0579199
12.125,-0.0580765
12.15,-0.0582331
12.175,-0.0583898
12.2,-0.0585466
12.225,-0.0587035
12.25,-0.0588606
12.275,-0.0590177
12.3,-0.0591749
12.325,-0.0593323
12.35,-0.0594898
12.375,-0.0596474
12.4,-0.0598052
12.425,-0.0599631
12.45,-0.0601212
12.475,-0.0602795
12.5,-0.060438
12.525,-0.0605966
12.55,-0.0607555
12.575,-0.0609145
12.6,-0.0610738
12.625,-0.0612333
12.65,-0.0613931
12.675,-0.0615531
12.7,-0.0617134
12.725,-0.0618739
12.75,-0.0620348
12.775,-0.062196
12.8,-0.0623575
12.825,-0.0625194
12.85,-0.0626816
12.875,-0.0628442
12.9,-0.0630072
12.925,-0.0631706
12.95,-0.0633344
12.975,-0.0634987
13,-0.0636634
13.025,-0.0638287
13.05,-0.0639944
13.075,-0.0641607
13.1,-0.0643275
13.125,-0.0644953
13.15,-0.0646628
13.175,-0.0648312
13.2,-0.065
13.225,-0.0651694
13.25,-0.0653392
13.275,-0.0655094
13.3,-0.0656802
13.325,-0.0658515
13.35,-0.0660233
13.375,-0.0661956
13.4,-0.0663685
13.425,-0.0665418
13.45,-0.0667158
13.475,-0.0668902
13.5,-0.0670653
13.525,-0.0672409
13.55,-0.067417
13.575,-0.0675938
13.6,-0.0677711
13.625,-0.0679491
13.65,-0.0681276
13.675,-0.0683068
13.7,-0.0684865
13.725,-0.0686669
13.75,-0.0688479
13.775,-0.0690295
13.8,-0.0692118
13.825,-0.0693947
13.85,-0.0695782
13.875,-0.0697624
13.9,-0.0699473
13.925,-0.0701328
13.95,-0.0703189
13.975,-0.0705058
14,-0.0706933
14.025,-0.0708814
14.05,-0.0710703
14.075,-0.0712598
14.1,-0.07145
14.125,-0.0716408
14.15,-0.0718324
14.175,-0.0720246
14.2,-0.0722175
14.225,-0.0724111
14.25,-0.0726054
14.275,-0.0728003
14.3,-0.0729959
14.325,-0.0731922
14.35,-0.0733892
