# Time(us)	Voltage(mV)
115.168000	8.087405
116.144000	-32.959990
117.120000	-93.386639
118.096000	-125.888852
119.072000	-170.140690
120.048000	-214.087344
121.024000	-252.845851
122.000000	-303.964354
122.976000	-333.567309
123.952000	-361.644337
124.928000	-403.607288
125.904000	-415.509507
126.880000	-447.553941
127.856000	-450.605792
128.832000	-477.004303
129.808000	-498.367260
130.784000	-481.276894
131.760000	-481.887265
132.736000	-501.724296
133.712000	-482.497635
134.688000	-470.595416
135.664000	-467.085788
136.640000	-432.294687
137.616000	-408.032472
138.592000	-376.445814
139.568000	-337.076937
140.544000	-303.659169
141.520000	-265.205847
142.496000	-231.177709
143.472000	-169.988098
144.448000	-137.638478
145.424000	-91.402936
146.400000	-41.199988
147.376000	10.223701
148.352000	43.336283
149.328000	97.506638
150.304000	156.559954
151.280000	187.994018
152.256000	246.894742
153.232000	275.887326
154.208000	311.441389
155.184000	366.527299
156.160000	368.968780
157.136000	400.555437
158.112000	439.619129
159.088000	463.881344
160.064000	482.039857
161.040000	487.075411
162.016000	487.533189
162.992000	486.465041
163.968000	495.620594
164.944000	495.315409
165.920000	466.017640
166.896000	445.722831
167.872000	437.788018
168.848000	417.340617
169.824000	402.996918
170.800000	368.205817
171.776000	314.645833
172.752000	297.402875
173.728000	243.842891
174.704000	200.659200
175.680000	163.274026
176.656000	120.853298
177.632000	74.312571
178.608000	31.891842
179.584000	-38.758507
180.560000	-85.604419
181.536000	-131.382183
182.512000	-164.799951
183.488000	-209.509568
184.464000	-254.982147
185.440000	-294.961394
186.416000	-325.937681
187.392000	-369.731742
188.368000	-385.296182
189.344000	-417.340617
190.320000	-443.281350
191.296000	-455.183569
192.272000	-479.140599
193.248000	-503.555406
194.224000	-493.636891
195.200000	-479.293191
196.176000	-496.383557
197.152000	-474.257637
198.128000	-474.257637
199.104000	-459.456160
200.080000	-416.730247
201.056000	-396.435438
202.032000	-364.696188
203.008000	-330.057680
203.984000	-295.113987
204.960000	-263.527329
205.936000	-242.774743
206.912000	-178.380688
207.888000	-152.592547
208.864000	-94.149602
209.840000	-49.134800
210.816000	-7.477035
211.792000	35.859249
212.768000	90.487381
213.744000	122.684408
214.720000	163.884396
215.696000	208.136235
216.672000	249.488815
217.648000	284.127323
218.624000	316.782128
219.600000	339.976196
220.576000	360.118412
221.552000	386.211737
222.528000	402.386547
223.504000	428.785058
224.480000	420.239875
225.456000	420.392468
226.432000	445.417646
227.408000	440.992462
228.384000	430.310984
229.360000	409.863582
230.336000	400.708029
231.312000	380.108036
232.288000	376.140629
233.264000	330.973235
234.240000	307.779168
235.216000	282.906583
236.192000	246.894742
237.168000	233.008820
238.144000	178.991058
239.120000	142.063662
240.096000	99.490341
241.072000	67.598498
242.048000	18.616291
243.024000	-13.580737
244.000000	-54.017762
244.976000	-93.081454
245.952000	-121.921445
246.928000	-153.202918
247.904000	-196.844386
248.880000	-222.174749
249.856000	-268.868068
250.832000	-302.438429
251.808000	-307.016205
252.784000	-339.213233
253.760000	-343.180639
254.736000	-362.254707
255.712000	-383.159886
256.688000	-378.582110
257.664000	-384.228034
258.640000	-381.633961
259.616000	-369.121372
260.592000	-384.380627
261.568000	-367.900632
262.544000	-332.346568
263.520000	-337.992492
264.496000	-313.272500
265.472000	-296.945097
266.448000	-250.862148
267.424000	-238.502152
268.400000	-225.379192
269.376000	-191.961425
270.352000	-143.894772
271.328000	-129.551073
272.304000	-88.961455
273.280000	-37.995544
274.256000	-20.294809
275.232000	17.700735
276.208000	52.186651
277.184000	65.004425
278.160000	117.496261
279.136000	144.810327
280.112000	150.914029
281.088000	181.127354
282.064000	209.814753
283.040000	212.408826
284.016000	243.995483
284.992000	261.238441
285.968000	289.773247
