C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=14.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
7.838,-0.114545
7.84,-0.114664
7.842,-0.114794
7.844,-0.114935
7.846,-0.115089
7.848,-0.115257
7.85,-0.115439
7.852,-0.115636
7.854,-0.115849
7.856,-0.11608
7.85643,-0.116132
7.858,-0.116329
7.8588,-0.116435
7.86,-0.116598
7.86112,-0.116759
7.862,-0.116889
7.86339,-0.117105
7.864,-0.117203
7.8656,-0.117473
7.866,-0.117543
7.86777,-0.117864
7.868,-0.117909
7.86988,-0.118279
7.87,-0.118304
7.87194,-0.118718
7.872,-0.11873
7.87396,-0.119182
7.874,-0.119191
7.87593,-0.119672
7.876,-0.119689
7.87786,-0.120189
7.878,-0.120227
7.87974,-0.120733
7.88,-0.12081
7.88158,-0.121305
7.882,-0.121441
7.88338,-0.121906
7.884,-0.122124
7.88514,-0.122538
7.886,-0.122865
7.88685,-0.1232
7.888,-0.12367
7.88853,-0.123894
7.89,-0.124545
7.89017,-0.124621
7.89177,-0.125382
7.892,-0.125498
7.89333,-0.126178
7.894,-0.126536
7.89486,-0.12701
7.896,-0.12767
7.89635,-0.127879
7.89781,-0.128787
7.898,-0.128909
7.89924,-0.129734
7.9,-0.130268
7.90063,-0.130721
7.90199,-0.13175
7.902,-0.131758
7.90332,-0.132822
7.904,-0.133398
7.90462,-0.133938
7.90589,-0.135099
7.906,-0.135206
7.90713,-0.136307
7.908,-0.137204
7.90834,-0.137563
7.90952,-0.138868
7.91,-0.139417
7.91068,-0.140224
7.91181,-0.141631
7.912,-0.141876
7.91292,-0.143092
7.91399,-0.144606
7.914,-0.144614
7.91505,-0.146176
7.916,-0.147675
7.91608,-0.147803
7.91709,-0.149488
7.918,-0.151105
7.91807,-0.151232
7.91903,-0.153036
7.91997,-0.154901
7.92,-0.154963
7.92089,-0.156829
7.92178,-0.158821
7.922,-0.159317
7.92266,-0.160877
7.92352,-0.162998
7.924,-0.164249
7.92435,-0.165185
7.92517,-0.167439
7.92597,-0.16976
7.926,-0.169857
7.92675,-0.17215
7.92751,-0.174608
7.928,-0.176255
7.92826,-0.177134
7.92898,-0.179729
7.92969,-0.182393
7.93,-0.183582
7.93039,-0.185126
7.93107,-0.187928
7.93173,-0.190797
7.932,-0.192001
7.93238,-0.193734
7.93301,-0.196738
7.93363,-0.199808
7.934,-0.201706
7.93424,-0.202942
7.93483,-0.20614
7.9354,-0.2094
7.93597,-0.21272
7.936,-0.212917
7.93652,-0.216098
7.93706,-0.219533
7.93758,-0.223021
7.938,-0.225886
7.9381,-0.226562
7.9386,-0.230151
7.93909,-0.233785
7.93957,-0.237463
7.94,-0.240879
7.94004,-0.241181
7.9405,-0.244935
7.94094,-0.248722
7.94138,-0.252538
7.94181,-0.25638
7.942,-0.258157
7.94222,-0.260243
7.94263,-0.264123
7.94303,-0.268017
7.94342,-0.271919
7.9438,-0.275827
7.944,-0.277927
7.94417,-0.279735
7.94453,-0.283639
7.94489,-0.287536
7.94524,-0.29142
7.94557,-0.295288
7.9459,-0.299135
7.946,-0.300255
7.94623,-0.302957
7.94654,-0.30675
7.94685,-0.310511
7.94715,-0.314235
7.94745,-0.317919
7.94774,-0.321559
7.948,-0.32492
7.94802,-0.325152
7.94829,-0.328696
7.94856,-0.332186
7.94882,-0.33562
7.94908,-0.338996
7.94933,-0.342311
7.94958,-0.345562
7.94982,-0.348749
7.95,-0.351218
7.95005,-0.351869
7.95028,-0.354921
7.9505,-0.357903
7.95072,-0.360815
7.95093,-0.363654
7.95114,-0.366422
7.95134,-0.369116
7.95154,-0.371737
7.95174,-0.374285
7.95193,-0.376759
7.952,-0.377728
7.95211,-0.37916
7.95229,-0.381488
7.95247,-0.383743
7.95264,-0.385926
7.95281,-0.388038
7.95298,-0.390079
7.95314,-0.392051
7.95329,-0.393955
7.95345,-0.395791
7.9536,-0.397561
7.95375,-0.399266
7.95389,-0.400907
7.954,-0.402151
7.95403,-0.402486
7.95417,-0.404004
7.9543,-0.405463
7.95443,-0.406864
7.95456,-0.408209
7.95468,-0.409499
7.95481,-0.410735
7.95493,-0.41192
7.95504,-0.413055
7.95516,-0.414141
7.95527,-0.41518
7.95538,-0.416173
7.95548,-0.417122
7.95559,-0.418029
7.95569,-0.418895
7.95579,-0.419721
7.95588,-0.420509
7.95598,-0.42126
7.956,-0.421422
7.95607,-0.421975
7.95616,-0.422657
7.95625,-0.423305
7.95634,-0.423923
7.95642,-0.42451
7.9565,-0.425067
7.95658,-0.425597
7.95666,-0.426101
7.95674,-0.426579
7.95681,-0.427032
7.95689,-0.427462
7.95696,-0.427869
7.95703,-0.428254
7.9571,-0.42862
7.95716,-0.428965
7.95723,-0.429292
7.95729,-0.429601
7.95736,-0.429892
7.95742,-0.430167
7.95748,-0.430427
7.95753,-0.430672
7.95759,-0.430903
7.95765,-0.43112
7.9577,-0.431324
7.95775,-0.431516
7.95781,-0.431696
7.95786,-0.431865
7.95791,-0.432024
7.95795,-0.432173
7.958,-0.432307
7.958,-0.432312
7.95805,-0.432442
7.95809,-0.432563
7.95814,-0.432676
7.95818,-0.432782
7.95822,-0.43288
7.95826,-0.432971
7.9583,-0.433055
7.95834,-0.433134
7.95838,-0.433206
7.95842,-0.433273
7.95845,-0.433334
7.95849,-0.43339
7.95853,-0.433442
7.95856,-0.433489
7.95859,-0.433531
7.95863,-0.43357
7.95866,-0.433605
7.95869,-0.433636
7.95872,-0.433664
7.95875,-0.433689
7.95878,-0.433711
7.95881,-0.43373
7.95883,-0.433746
7.95886,-0.43376
7.95889,-0.433772
7.95891,-0.433781
7.95894,-0.433788
7.95896,-0.433794
7.95899,-0.433797
7.95901,-0.433799
7.95903,-0.433799
7.95906,-0.433798
7.95908,-0.433795
7.9591,-0.433792
7.95912,-0.433786
7.95914,-0.43378
7.95916,-0.433773
7.95918,-0.433765
7.9592,-0.433756
7.95922,-0.433746
7.95924,-0.433735
7.95925,-0.433724
7.95927,-0.433712
7.95929,-0.4337
7.95931,-0.433687
7.95932,-0.433673
7.95934,-0.43366
7.95935,-0.433645
7.95937,-0.433631
7.95938,-0.433616
7.9594,-0.4336
7.95941,-0.433585
7.95943,-0.433569
7.95944,-0.433554
7.95945,-0.433538
7.95947,-0.433522
7.95948,-0.433505
