C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
15.8849,-0.547217
15.8853,-0.551829
15.8856,-0.556323
15.8859,-0.5607
15.8863,-0.564961
15.8866,-0.569106
15.8869,-0.573136
15.8872,-0.577053
15.8875,-0.580857
15.8878,-0.584549
15.8881,-0.588132
15.8883,-0.591606
15.8886,-0.594974
15.8889,-0.598238
15.8891,-0.601399
15.8894,-0.60446
15.8896,-0.607422
15.8899,-0.610287
15.8901,-0.613059
15.8904,-0.615738
15.8906,-0.618327
15.8908,-0.620829
15.891,-0.623246
15.8912,-0.62558
15.8914,-0.627833
15.8916,-0.630008
15.8918,-0.632106
15.892,-0.63413
15.8922,-0.636083
15.8924,-0.637966
15.8926,-0.639782
15.8927,-0.641532
15.8929,-0.643219
15.8931,-0.644844
15.8933,-0.646411
15.8934,-0.64792
15.8936,-0.649374
15.8937,-0.650774
15.8939,-0.652123
15.894,-0.653422
15.8942,-0.654673
15.8943,-0.655877
15.8944,-0.657037
15.8946,-0.658153
15.8947,-0.659228
15.8948,-0.660262
15.8949,-0.661258
15.8951,-0.662217
15.8952,-0.66314
15.8953,-0.664028
15.8954,-0.664883
15.8955,-0.665706
15.8956,-0.666498
15.8957,-0.667261
15.8958,-0.667995
15.8959,-0.668701
15.896,-0.669381
15.8961,-0.670036
15.8962,-0.670666
15.8963,-0.671272
15.8964,-0.671856
15.8965,-0.672418
15.8966,-0.67296
15.8967,-0.673481
15.8967,-0.673983
15.8968,-0.674466
15.8969,-0.674931
15.897,-0.675379
15.897,-0.675811
15.8971,-0.676227
15.8972,-0.676627
15.8973,-0.677013
15.8973,-0.677385
15.8974,-0.677743
15.8975,-0.678088
15.8975,-0.67842
15.8976,-0.678741
15.8976,-0.67905
15.8977,-0.679347
15.8978,-0.679634
15.8978,-0.679911
15.8979,-0.680178
15.8979,-0.680435
15.898,-0.680683
15.898,-0.680923
15.8981,-0.681153
15.8981,-0.681376
15.8982,-0.681591
15.8982,-0.681798
15.8983,-0.681998
15.8983,-0.682192
15.8984,-0.682378
15.8984,-0.682558
15.8984,-0.682732
15.8985,-0.682899
15.8985,-0.683061
15.8986,-0.683218
15.8986,-0.683369
15.8986,-0.683515
15.8987,-0.683656
15.8987,-0.683793
15.8987,-0.683924
15.8988,-0.684052
15.8988,-0.684175
15.8988,-0.684294
15.8989,-0.684409
15.8989,-0.68452
15.8989,-0.684628
15.899,-0.684732
15.899,-0.684832
15.899,-0.68493
15.899,-0.685024
15.8991,-0.685115
15.8991,-0.685204
15.8991,-0.685289
15.8992,-0.685372
15.8992,-0.685452
15.8992,-0.685529
15.8992,-0.685605
15.8992,-0.685677
15.8993,-0.685748
15.8993,-0.685816
15.8993,-0.685882
15.8993,-0.685946
15.8994,-0.686008
15.8994,-0.686069
15.8994,-0.686127
15.8994,-0.686184
15.8994,-0.686239
15.8994,-0.686292
15.8995,-0.686343
15.8995,-0.686393
15.8995,-0.686442
15.8995,-0.686489
15.8995,-0.686535
15.8995,-0.686579
15.8996,-0.686622
15.8996,-0.686664
15.8996,-0.686705
15.8996,-0.686744
15.8996,-0.686782
15.8996,-0.686819
15.8996,-0.686855
15.8997,-0.68689
15.8997,-0.686924
15.8997,-0.686957
15.8997,-0.686989
15.8997,-0.687021
15.8997,-0.687051
15.8997,-0.68708
15.8997,-0.687109
15.8998,-0.687137
15.8998,-0.687164
15.8998,-0.68719
15.8998,-0.687216
15.8998,-0.68724
15.8998,-0.687265
15.8998,-0.687288
15.8998,-0.687311
15.8998,-0.687333
15.8998,-0.687355
15.8998,-0.687376
15.8999,-0.687396
15.8999,-0.687416
15.8999,-0.687435
15.8999,-0.687454
15.8999,-0.687473
15.8999,-0.68749
15.8999,-0.687508
15.8999,-0.687525
15.8999,-0.687541
15.8999,-0.687557
15.8999,-0.687573
15.8999,-0.687588
15.8999,-0.687603
15.9,-0.687617
15.9,-0.687631
15.9,-0.687645
15.9,-0.687658
15.9,-0.687671
15.9,-0.687684
15.9,-0.687696
15.9,-0.687708
15.9,-0.68772
15.9,-0.687687
15.9,-0.687748
15.9,-0.687764
15.9,-0.687781
15.9,-0.687799
15.9,-0.687817
15.9,-0.687835
15.9,-0.687853
15.9,-0.687872
15.9,-0.687892
