C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=10.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
8.93693,-0.435135
8.93694,-0.435119
8.93696,-0.435103
8.93697,-0.435088
8.93698,-0.435072
8.937,-0.435056
8.93701,-0.43504
8.93702,-0.435024
8.93704,-0.435008
8.93705,-0.434992
8.93706,-0.434976
8.93707,-0.43496
8.93708,-0.434944
8.93709,-0.434928
8.9371,-0.434912
8.93712,-0.434897
8.93713,-0.434881
8.93714,-0.434866
8.93715,-0.434851
8.93716,-0.434836
8.93716,-0.434821
8.93717,-0.434806
8.93718,-0.434791
8.93719,-0.434777
8.9372,-0.434762
8.93721,-0.434748
8.93722,-0.434734
8.93723,-0.43472
8.93723,-0.434706
8.93724,-0.434693
8.93725,-0.43468
8.93726,-0.434666
8.93726,-0.434654
8.93727,-0.434641
8.93728,-0.434628
8.93728,-0.434616
8.93729,-0.434604
8.9373,-0.434591
8.9373,-0.43458
8.93731,-0.434568
8.93731,-0.434556
8.93732,-0.434545
8.93733,-0.434534
8.93733,-0.434523
8.93734,-0.434512
8.93734,-0.434502
8.93735,-0.434491
8.93735,-0.434481
8.93736,-0.434471
8.93736,-0.434461
8.93737,-0.434452
8.93737,-0.434442
8.93738,-0.434433
8.93738,-0.434424
8.93738,-0.434415
8.93739,-0.434406
8.93739,-0.434397
8.9374,-0.434389
8.9374,-0.43438
8.9374,-0.434372
8.93741,-0.434364
8.93741,-0.434356
8.93742,-0.434348
8.93742,-0.434341
8.93742,-0.434333
8.93743,-0.434326
8.93743,-0.434319
8.93743,-0.434312
8.93744,-0.434305
8.93744,-0.434301
8.93744,-0.434298
8.93744,-0.434292
8.93744,-0.434285
8.93745,-0.434279
8.93745,-0.434273
8.93745,-0.434267
8.93745,-0.434261
8.93746,-0.434255
8.93746,-0.434249
8.93746,-0.434243
8.93747,-0.434236
8.93747,-0.43423
8.93747,-0.434223
8.93747,-0.434216
8.93748,-0.434209
8.93748,-0.434202
8.93748,-0.434195
8.93749,-0.434187
8.93749,-0.434179
8.93749,-0.434171
8.9375,-0.434163
8.9375,-0.434156
8.9375,-0.434154
8.9375,-0.434146
8.93751,-0.434137
8.93751,-0.434128
8.93752,-0.434118
8.93752,-0.434109
8.93752,-0.434099
8.93753,-0.434088
8.93753,-0.434078
8.93754,-0.434067
8.93754,-0.434056
8.93755,-0.434045
8.93755,-0.434033
8.93756,-0.434021
8.93756,-0.434009
8.93757,-0.433996
8.93757,-0.433983
8.93758,-0.433969
8.93758,-0.433956
8.93759,-0.433941
8.93759,-0.433927
8.9376,-0.433912
8.9376,-0.433896
8.93761,-0.43388
8.93762,-0.433864
8.93762,-0.433847
8.93763,-0.43383
8.93764,-0.433812
8.93764,-0.433794
8.93765,-0.433775
8.93766,-0.433755
8.93766,-0.433735
8.93767,-0.433714
8.93768,-0.433693
8.93769,-0.433671
8.9377,-0.433649
8.9377,-0.433625
8.93771,-0.433601
8.93772,-0.433577
8.93773,-0.433551
8.93774,-0.433525
8.93775,-0.433498
8.93776,-0.43347
8.93777,-0.433442
8.93778,-0.433412
8.93779,-0.433381
8.9378,-0.43335
8.93781,-0.433317
8.93782,-0.433284
8.93783,-0.433249
8.93784,-0.433213
8.93785,-0.433177
8.93787,-0.433139
8.93788,-0.433099
8.93789,-0.433059
8.9379,-0.433017
8.93792,-0.432974
8.93793,-0.432929
8.93794,-0.432883
8.93796,-0.432836
8.93797,-0.432786
8.93799,-0.432736
8.938,-0.432683
8.93802,-0.432629
8.93803,-0.432573
8.93805,-0.432515
8.93806,-0.432455
8.93808,-0.432393
8.9381,-0.432329
8.93812,-0.432262
8.93813,-0.432194
8.93815,-0.432123
8.93817,-0.432049
8.93819,-0.431973
8.93821,-0.431895
8.93823,-0.431813
8.93825,-0.431729
8.93827,-0.431642
8.9383,-0.431551
8.93832,-0.431458
8.93834,-0.431361
8.93836,-0.431261
8.93839,-0.431157
8.93841,-0.431049
8.93844,-0.430937
8.93846,-0.430822
8.93849,-0.430702
8.93852,-0.430578
8.93854,-0.430449
8.93857,-0.430315
8.9386,-0.430177
8.93863,-0.430034
8.93866,-0.429885
8.93869,-0.42973
8.93872,-0.42957
8.93875,-0.429404
8.93879,-0.429232
8.93882,-0.429053
8.93886,-0.428867
8.93889,-0.428674
8.93893,-0.428475
8.93896,-0.428267
8.939,-0.428052
8.93904,-0.427828
8.93908,-0.427596
8.93912,-0.427355
8.93916,-0.427105
8.93921,-0.426845
8.93925,-0.426575
8.93929,-0.426294
8.93934,-0.426003
8.93939,-0.425701
8.93944,-0.425386
8.93948,-0.42506
8.93953,-0.424721
8.93959,-0.424369
8.93964,-0.424003
8.93969,-0.423623
8.93975,-0.423228
8.9398,-0.422817
8.93986,-0.422391
8.93992,-0.421947
8.93998,-0.421487
8.94,-0.421336
8.94004,-0.421009
8.94011,-0.420511
8.94017,-0.419995
8.94024,-0.419458
8.9403,-0.4189
8.94037,-0.418321
8.94044,-0.417719
8.94052,-0.417094
8.94059,-0.416444
8.94067,-0.415769
8.94075,-0.415068
8.94083,-0.41434
8.94091,-0.413583
8.94099,-0.412798
8.94108,-0.411982
8.94116,-0.411135
8.94125,-0.410256
8.94135,-0.409344
8.94144,-0.408396
8.94153,-0.407413
8.94163,-0.406393
8.94173,-0.405335
8.94184,-0.404238
8.94194,-0.403099
8.94205,-0.401919
8.94216,-0.400696
8.94227,-0.399428
8.94239,-0.398114
8.9425,-0.396832
8.94251,-0.396753
8.94263,-0.395343
8.94275,-0.393884
8.94288,-0.392373
8.94301,-0.39081
8.94314,-0.389193
8.94328,-0.387521
8.94342,-0.385793
8.94356,-0.384007
8.9437,-0.382163
8.94385,-0.380258
8.94401,-0.378293
8.94416,-0.376265
8.94432,-0.374174
8.94449,-0.372019
8.94465,-0.369799
8.94482,-0.367513
8.945,-0.365163
8.945,-0.365161
8.94518,-0.362741
8.94536,-0.360254
8.94555,-0.357699
8.94574,-0.355076
8.94594,-0.352385
8.94614,-0.349625
8.94635,-0.346797
8.94656,-0.343901
