C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_2port.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_2_5CELL_mod_2port
14.4088,-0.880038
14.409,-0.880275
14.4092,-0.880512
14.4094,-0.880751
14.4096,-0.880991
14.4098,-0.881232
14.41,-0.881474
14.4102,-0.881717
14.4104,-0.881961
14.4106,-0.882206
14.4108,-0.882453
14.411,-0.8827
14.4112,-0.882949
14.4114,-0.883199
14.4116,-0.88345
14.4118,-0.883702
14.412,-0.883955
14.4122,-0.884209
14.4124,-0.884465
14.4126,-0.884721
14.4128,-0.884979
14.413,-0.885238
14.4132,-0.885499
14.4134,-0.88576
14.4136,-0.886023
14.4138,-0.886287
14.414,-0.886552
14.4142,-0.886818
14.4144,-0.887085
14.4146,-0.887354
14.4148,-0.887624
14.415,-0.887895
14.4152,-0.888168
14.4154,-0.888442
14.4156,-0.888717
14.4158,-0.888993
14.416,-0.88927
14.4162,-0.889549
14.4164,-0.889829
14.4166,-0.890111
14.4168,-0.890394
14.417,-0.890678
14.4172,-0.890963
14.4174,-0.89125
14.4176,-0.891538
14.4178,-0.891827
14.418,-0.892118
14.4182,-0.89241
14.4184,-0.892704
14.4186,-0.892999
14.4188,-0.893295
14.419,-0.893593
14.4192,-0.893892
14.4194,-0.894192
14.4196,-0.894494
14.4198,-0.894797
14.42,-0.895102
14.4202,-0.895408
14.4204,-0.895716
14.4206,-0.896025
14.4208,-0.896335
14.421,-0.896647
14.4212,-0.896961
14.4214,-0.897276
14.4216,-0.897592
14.4218,-0.89791
14.422,-0.89823
14.4222,-0.898551
14.4224,-0.898873
14.4226,-0.899197
14.4228,-0.899523
14.423,-0.89985
14.4232,-0.900179
14.4234,-0.900509
14.4236,-0.900841
14.4238,-0.901174
14.424,-0.90151
14.4242,-0.901846
14.4244,-0.902185
14.4246,-0.902524
14.4248,-0.902866
14.425,-0.903209
14.4252,-0.903554
14.4254,-0.903901
14.4256,-0.904249
14.4258,-0.904599
