C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_3ports_DEF.son DE_EMBEDDED Lk=1.0
FREQUENCY (GHz), DB[Z33]-Photon_count_2_V5_2D_2_5CELL_mod_3ports_DEF
16.06,27.8245
16.08,27.8826
16.1,27.9404
16.12,27.9976
16.14,28.0545
16.16,28.111
16.18,28.1671
16.2,28.2228
16.22,28.2781
16.24,28.333
16.26,28.3875
16.28,28.4417
16.3,28.4955
16.32,28.549
16.34,28.602
16.36,28.6548
16.38,28.7071
16.4,28.7592
16.42,28.8109
16.44,28.8623
16.46,28.9133
16.48,28.964
16.5,29.0144
16.52,29.0645
16.54,29.1142
16.56,29.1637
16.58,29.2128
16.6,29.2617
16.62,29.3102
16.64,29.3584
16.66,29.4064
16.68,29.4541
16.7,29.5015
16.72,29.5486
16.74,29.5954
16.76,29.642
16.78,29.6882
16.8,29.7343
16.82,29.78
16.84,29.8255
16.86,29.8708
16.88,29.9157
16.9,29.9605
16.92,30.005
16.94,30.0492
16.96,30.0932
16.98,30.137
17,30.1805
17.02,30.2238
17.04,30.2669
17.06,30.3097
17.08,30.3524
17.1,30.3948
17.12,30.4367
17.14,30.4782
17.16,30.5198
17.18,30.5613
17.2,30.6026
17.22,30.6437
17.24,30.6846
17.26,30.7253
17.28,30.7657
17.3,30.806
17.32,30.846
17.34,30.8859
17.36,30.9255
17.38,30.965
17.4,31.0042
17.42,31.0433
17.44,31.0822
17.46,31.1209
17.48,31.1594
17.5,31.1977
17.52,31.2359
17.54,31.2739
17.56,31.3117
17.58,31.3493
17.6,31.3867
17.62,31.424
17.64,31.4611
17.66,31.4981
17.68,31.5348
17.7,31.5714
17.72,31.6079
17.74,31.6442
17.76,31.6803
17.78,31.7163
17.8,31.7521
17.82,31.7877
17.84,31.8232
17.86,31.8586
17.88,31.8938
17.9,31.9288
17.92,31.9637
17.94,31.9985
17.96,32.0331
17.98,32.0676
18,32.1019
18.02,32.1361
18.04,32.1701
18.06,32.204
18.08,32.2378
18.1,32.2714
18.12,32.3049
18.14,32.3383
18.16,32.3716
18.18,32.4047
18.2,32.4377
18.22,32.4705
18.24,32.5032
18.26,32.5358
18.28,32.5683
18.3,32.6007
18.32,32.6329
18.34,32.665
18.36,32.697
18.38,32.7289
18.4,32.7607
18.42,32.7923
18.44,32.8239
18.46,32.8553
18.48,32.8866
18.5,32.9178
18.52,32.9489
18.54,32.9799
18.56,33.0108
18.58,33.0416
18.6,33.0722
18.62,33.1028
18.64,33.1333
18.66,33.1636
18.68,33.1939
18.7,33.224
18.72,33.2541
18.74,33.2841
18.76,33.314
18.78,33.3438
18.8,33.3734
18.82,33.403
18.84,33.4326
18.86,33.462
18.88,33.4913
18.9,33.5206
18.92,33.5497
18.94,33.5788
18.96,33.6078
18.98,33.6367
19,33.6656
19.02,33.6943
19.04,33.723
19.06,33.7516
19.08,33.7802
19.1,33.8086
19.12,33.837
19.14,33.8653
19.16,33.8936
19.18,33.9218
19.2,33.9499
19.22,33.978
19.24,34.006
19.26,34.034
19.28,34.0619
19.3,34.0897
19.32,34.1175
19.34,34.1453
19.36,34.173
19.38,34.2007
19.4,34.2283
19.42,34.2559
19.44,34.2835
19.46,34.311
19.48,34.3385
19.5,34.366
19.52,34.3935
19.54,34.4209
19.56,34.4484
19.58,34.4759
19.6,34.5033
19.62,34.5308
19.64,34.5583
19.66,34.5858
19.68,34.6134
19.7,34.641
19.72,34.6687
19.74,34.6964
19.76,34.7242
19.78,34.7522
19.8,34.7802
19.82,34.8083
19.84,34.8367
19.86,34.8651
19.88,34.8938
19.9,34.9227
19.92,34.9519
19.94,34.9813
19.96,35.0111
19.98,35.0413
20,35.072
C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_3ports_DEF.son DE_EMBEDDED Lk=3.0
FREQUENCY (GHz), DB[Z33]-Photon_count_2_V5_2D_2_5CELL_mod_3ports_DEF
2,51.8042
2.02,51.7124
2.04,51.6214
2.06,51.5312
2.08,51.4418
2.1,51.3531
2.12,51.2652
2.14,51.1779
2.16,51.0914
2.18,51.0055
2.2,50.9203
2.22,50.8358
2.24,50.7519
2.26,50.6687
2.28,50.5861
2.3,50.5041
2.32,50.4227
2.34,50.3419
2.36,50.2616
2.38,50.1819
2.4,50.1028
2.42,50.0242
2.44,49.9462
2.46,49.8687
2.48,49.7917
2.5,49.7152
2.52,49.6392
2.54,49.5637
2.56,49.4886
2.58,49.4141
2.6,49.3399
2.62,49.2663
2.64,49.1931
2.66,49.1203
2.68,49.048
2.7,48.9761
2.72,48.9046
2.74,48.8335
2.76,48.7628
2.78,48.6925
2.8,48.6226
2.82,48.5531
2.84,48.4839
2.86,48.4151
2.88,48.3467
2.9,48.2786
2.92,48.2109
2.94,48.1436
2.96,48.0765
2.98,48.0098
3,47.9435
3.02,47.8774
3.04,47.8117
3.06,47.7463
3.08,47.6812
3.1,47.6164
3.12,47.5518
3.14,47.4876
3.16,47.4237
3.18,47.3601
3.2,47.2967
3.22,47.2336
3.24,47.1708
3.26,47.1082
3.28,47.0459
3.3,46.9839
3.32,46.9221
3.34,46.8605
3.36,46.7992
3.38,46.7382
3.4,46.6773
3.42,46.6168
3.44,46.5564
3.46,46.4963
3.48,46.4364
3.5,46.3767
3.52,46.3172
3.54,46.2579
3.56,46.1989
3.58,46.14
3.6,46.0814
3.62,46.0229
3.64,45.9646
3.66,45.9066
3.68,45.8487
3.7,45.791
3.72,45.7335
3.74,45.6762
3.76,45.619
3.78,45.562
3.8,45.5052
3.82,45.4486
3.84,45.3921
3.86,45.3358
3.88,45.2797
3.9,45.2237
3.92,45.1678
3.94,45.1121
3.96,45.0566
3.98,45.0012
4,44.946
4.02,44.8909
4.04,44.8359
4.06,44.7811
