C:\Users\oper\Downloads\Photon_Count_2_V5_PC_2_1_1_PIXEL3_3PORT1.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[Z33]-Photon_Count_2_V5_PC_2_1_1_PIXEL3_3PORT1
16.88,22.7897
16.9,22.8907
16.92,22.9906
16.94,23.0896
16.96,23.1876
16.97,23.2362
16.98,23.2846
17,23.3808
17.02,23.4762
17.04,23.5708
17.06,23.6646
17.08,23.7578
17.1,23.8504
17.12,23.9424
17.14,24.034
17.16,24.1251
17.18,24.216
17.2,24.3068
17.22,24.3974
17.24,24.4883
17.26,24.5794
17.28,24.6711
17.3,24.7637
17.32,24.8576
17.34,24.9534
17.36,25.0516
17.38,25.1533
17.4,25.2597
17.42,25.372
17.44,25.492
17.46,25.6234
17.48,25.7731
17.49,25.8558
17.5,25.9432
17.52,26.1136
17.54,26.1493
17.56,25.6821
17.58,25.0383
17.6,24.9432
17.62,25.0903
17.64,25.261
17.66,25.4135
17.68,25.5464
17.7,25.664
17.72,25.7703
17.74,25.8681
17.75,25.9145
17.76,25.9594
17.78,26.0458
17.8,26.1282
17.82,26.2073
17.84,26.2838
17.86,26.358
17.88,26.4303
17.9,26.5009
17.92,26.5701
17.94,26.6379
17.96,26.7046
17.98,26.7702
18,26.8348
18.02,26.8985
18.04,26.9613
18.06,27.0234
18.08,27.0848
18.1,27.1454
18.12,27.2054
18.14,27.2648
18.16,27.3235
18.18,27.3817
18.2,27.4394
18.22,27.4965
18.24,27.5531
18.26,27.6092
18.28,27.6648
18.3,27.72
18.32,27.7747
18.34,27.829
18.36,27.8828
18.38,27.9362
18.4,27.9893
18.42,28.0419
18.44,28.0941
18.46,28.146
18.48,28.1975
18.5,28.2486
18.52,28.2994
18.54,28.3498
18.56,28.3999
18.58,28.4497
18.6,28.4991
18.62,28.5482
18.64,28.5969
18.66,28.6454
18.68,28.6935
18.7,28.7414
18.72,28.7889
18.74,28.8362
18.76,28.8831
18.78,28.9298
18.8,28.9762
18.82,29.0223
18.84,29.0681
18.86,29.1137
18.88,29.159
18.9,29.204
18.92,29.2488
18.94,29.2933
18.96,29.3376
18.98,29.3816
19,29.4254
19.02,29.4689
19.04,29.5122
19.06,29.5552
19.08,29.5981
19.1,29.6406
19.12,29.683
19.14,29.7251
19.16,29.7671
19.18,29.8087
19.2,29.8502
19.22,29.8915
19.24,29.9325
19.26,29.9734
19.28,30.014
19.3,30.0544
19.32,30.0946
19.34,30.1346
19.36,30.1745
19.38,30.2141
19.4,30.2535
19.42,30.2927
19.44,30.3318
19.46,30.3706
19.48,30.4093
19.5,30.4478
19.52,30.4861
19.54,30.5242
19.56,30.5622
19.58,30.5999
19.6,30.6375
19.62,30.6749
19.64,30.7122
19.66,30.7493
19.68,30.7862
19.7,30.8229
19.72,30.8595
19.74,30.8959
19.76,30.9322
19.78,30.9683
19.8,31.0042
19.82,31.04
19.84,31.0756
19.86,31.1111
19.88,31.1464
19.9,31.1816
19.92,31.2166
19.94,31.2515
19.96,31.2862
19.98,31.3208
20,31.3552
C:\Users\oper\Downloads\Photon_Count_2_V5_PC_2_1_1_PIXEL3_3PORT1.son DE_EMBEDDED Lk=1.0
FREQUENCY (GHz), DB[Z33]-Photon_Count_2_V5_PC_2_1_1_PIXEL3_3PORT1
2,53.19
2.02,53.1
2.04,53.0108
2.06,52.9224
2.08,52.8348
2.1,52.7479
2.12,52.6618
2.14,52.5765
2.16,52.4918
2.18,52.4079
2.2,52.3247
2.22,52.2421
2.24,52.1602
2.26,52.079
2.28,51.9984
2.3,51.9184
2.32,51.8391
2.34,51.7603
2.36,51.6822
2.38,51.6046
2.4,51.5277
2.42,51.4513
2.44,51.3754
2.46,51.3001
2.48,51.2253
2.5,51.1511
2.52,51.0773
2.54,51.0041
2.56,50.9314
2.58,50.8591
2.6,50.7874
2.62,50.7161
2.64,50.6453
2.66,50.575
2.68,50.5051
2.7,50.4356
2.72,50.3666
2.74,50.298
2.76,50.2299
2.78,50.1621
2.8,50.0948
2.82,50.0279
2.84,49.9613
2.86,49.8952
2.88,49.8294
2.9,49.764
2.92,49.699
2.94,49.6344
2.96,49.5701
2.98,49.5062
3,49.4427
3.02,49.3794
3.04,49.3166
3.06,49.254
3.08,49.1918
3.1,49.1299
3.12,49.0683
3.14,49.0071
3.16,48.9462
3.18,48.8855
3.2,48.8252
3.22,48.7652
3.24,48.7054
3.26,48.646
3.28,48.5868
3.3,48.5279
3.32,48.4693
3.34,48.411
3.36,48.3529
3.38,48.2952
3.4,48.2376
3.42,48.1804
3.44,48.1233
3.46,48.0666
3.48,48.0101
3.5,47.9538
3.52,47.8978
3.54,47.842
3.56,47.7864
3.58,47.7311
3.6,47.676
3.62,47.6211
3.64,47.5665
3.66,47.512
3.68,47.4578
3.7,47.4038
3.72,47.35
3.74,47.2964
3.76,47.243
3.78,47.1899
3.8,47.1369
3.82,47.0841
3.84,47.0315
3.86,46.9791
3.88,46.9269
3.9,46.8749
3.92,46.8231
3.94,46.7714
3.96,46.7199
3.98,46.6686
4,46.6175
4.02,46.5665
4.04,46.5158
4.06,46.4652
4.08,46.4147
4.1,46.3644
4.12,46.3143
4.14,46.2643
4.16,46.2145
4.18,46.1649
4.2,46.1154
4.22,46.066
4.24,46.0168
4.26,45.9677
4.28,45.9188
4.3,45.8701
4.32,45.8214
4.34,45.7729
4.36,45.7246
4.38,45.6764
4.4,45.6283
4.42,45.5803
4.44,45.5325
4.46,45.4848
4.48,45.4373
4.5,45.3898
4.52,45.3425
4.54,45.2953
4.56,45.2482
4.58,45.2013
4.6,45.1544
4.62,45.1077
4.64,45.0611
4.66,45.0146
4.68,44.9682
4.7,44.9219
4.72,44.8758
4.74,44.8297
4.76,44.7837
4.78,44.7379
4.8,44.6921
4.82,44.6465
4.84,44.6009
4.86,44.5554
4.88,44.5101
4.9,44.4648
4.92,44.4196
4.94,44.3745
4.96,44.3295
4.98,44.2846
5,44.2398
5.02,44.1951
5.04,44.1504
5.06,44.1059
5.08,44.0614
5.1,44.017
5.12,43.9727
5.14,43.9285
5.16,43.8843
5.18,43.8402
5.2,43.7962
5.22,43.7523
5.24,43.7084
5.26,43.6646
5.28,43.6209
5.3,43.5773
5.32,43.5337
5.34,43.4902
5.36,43.4467
5.38,43.4034
5.4,43.3601
5.42,43.3168
5.44,43.2736
5.46,43.2305
5.48,43.1874
5.5,43.1444
5.52,43.1015
5.54,43.0586
5.56,43.0157
5.58,42.9729
5.6,42.9302
5.62,42.8875
5.64,42.8449
5.66,42.8023
5.68,42.7598
5.7,42.7173
5.72,42.6749
5.74,42.6325
5.76,42.5902
5.78,42.5479
5.8,42.5056
5.82,42.4634
5.84,42.4213
5.86,42.3791
5.88,42.337
5.9,42.295
5.92,42.253
5.94,42.211
5.96,42.1691
5.98,42.1272
6,42.0853
6.02,42.0435
6.04,42.0017
6.06,41.9599
6.08,41.9182
6.1,41.8765
6.12,41.8348
6.14,41.7932
6.16,41.7516
6.18,41.71
6.2,41.6684
6.22,41.6268
6.24,41.5853
6.26,41.5438
6.28,41.5023
6.3,41.4609
6.32,41.4195
6.34,41.378
6.36,41.3366
6.38,41.2953
6.4,41.2539
6.42,41.2126
6.44,41.1712
6.46,41.1299
6.48,41.0886
6.5,41.0473
6.52,41.006
6.54,40.9648
6.56,40.9235
6.58,40.8823
6.6,40.841
6.62,40.7998
6.64,40.7586
6.66,40.7174
6.68,40.6762
6.7,40.635
6.72,40.5938
6.74,40.5526
6.76,40.5114
6.78,40.4702
6.8,40.429
6.82,40.3878
6.84,40.3466
6.86,40.3054
6.88,40.2642
6.9,40.223
6.92,40.1817
6.94,40.1405
6.96,40.0993
6.98,40.0581
7,40.0168
7.02,39.9756
7.04,39.9343
7.06,39.8931
7.08,39.8518
7.1,39.8105
7.12,39.7692
7.14,39.7279
7.16,39.6866
7.18,39.6452
7.2,39.6039
7.22,39.5625
7.24,39.5211
7.26,39.4797
7.28,39.4383
7.3,39.3968
7.32,39.3554
7.34,39.3139
7.36,39.2724
7.38,39.2308
7.4,39.1893
7.42,39.1477
7.44,39.1061
7.46,39.0644
7.48,39.0228
7.5,38.9811
7.52,38.9393
7.54,38.8976
7.56,38.8558
7.58,38.814
7.6,38.7721
7.62,38.7303
7.64,38.6884
7.66,38.6464
7.68,38.6044
7.7,38.5624
7.72,38.5203
7.74,38.4783
7.76,38.4361
7.78,38.3939
7.8,38.3517
7.82,38.3095
7.84,38.2672
7.86,38.2248
7.88,38.1824
