C:\Users\oper\Downloads\Photon_Count_2_V5_PC_2_1_1_PIXEL3_2PORT.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-Photon_Count_2_V5_PC_2_1_1_PIXEL3_2PORT
15.844,-0.0709391
15.846,-0.0708385
15.848,-0.0707385
15.85,-0.070639
15.852,-0.0705402
15.854,-0.0704419
15.856,-0.0703443
15.858,-0.0702472
15.86,-0.0701507
15.862,-0.0700549
15.864,-0.0699596
15.866,-0.0698649
15.868,-0.0697708
15.87,-0.0696773
15.872,-0.0695844
15.874,-0.0694921
15.876,-0.0694004
15.878,-0.0693093
15.88,-0.0692187
15.882,-0.0691288
15.884,-0.0690395
15.886,-0.0689507
15.888,-0.0688626
15.89,-0.0687751
15.892,-0.0686881
15.894,-0.0686018
15.896,-0.068516
15.898,-0.0684308
15.9,-0.0683463
15.902,-0.0682623
15.904,-0.0681789
15.906,-0.0680962
15.908,-0.068014
15.91,-0.0679324
15.912,-0.0678514
15.914,-0.0677711
15.916,-0.0676913
15.918,-0.0676121
15.92,-0.0675335
15.922,-0.0674555
15.924,-0.0673781
15.926,-0.0673013
15.928,-0.0672251
15.93,-0.0671496
15.932,-0.0670746
15.934,-0.0670002
15.936,-0.0669264
15.938,-0.0668532
15.94,-0.0667806
15.942,-0.0667086
15.944,-0.0666372
15.946,-0.0665664
15.948,-0.0664962
15.95,-0.0664266
15.952,-0.0663576
15.954,-0.0662892
15.956,-0.0662215
15.958,-0.0661543
15.96,-0.0660877
15.962,-0.0660217
15.964,-0.0659563
15.966,-0.0658915
15.968,-0.0658274
15.97,-0.0657638
15.972,-0.0657008
15.974,-0.0656385
15.976,-0.0655767
15.978,-0.0655156
15.98,-0.065455
15.982,-0.0653951
15.984,-0.0653357
15.986,-0.065277
15.988,-0.0652188
15.99,-0.0651613
15.992,-0.0651044
15.994,-0.0650481
15.996,-0.0649924
15.998,-0.0649372
16,-0.0648827
16.025,-0.0637791
16.05,-0.0632446
16.075,-0.0628192
16.1,-0.062505
16.125,-0.0623043
16.15,-0.0622194
16.175,-0.0622527
16.2,-0.0624066
16.225,-0.0626839
16.25,-0.0630949
16.275,-0.0636478
16.294,-0.0641622
16.3,-0.0643415
16.325,-0.0651751
16.35,-0.0661479
16.375,-0.0672592
16.4,-0.0685086
16.425,-0.0698959
16.45,-0.0714212
16.475,-0.0730848
16.5,-0.0748874
16.525,-0.0768301
16.55,-0.0789144
16.575,-0.0811425
16.6,-0.0835173
16.625,-0.0860423
16.65,-0.0887223
16.675,-0.0915629
16.7,-0.0945716
16.725,-0.0977573
16.75,-0.101132
16.775,-0.104708
16.8,-0.108505
16.825,-0.112544
16.85,-0.116853
16.875,-0.121467
16.9,-0.126429
16.925,-0.131797
16.95,-0.137641
16.975,-0.144054
17,-0.151151
17.025,-0.159079
17.05,-0.168016
17.075,-0.178168
17.1,-0.189753
17.125,-0.202946
17.15,-0.217805
17.175,-0.234193
17.2,-0.25183
17.225,-0.270527
17.25,-0.290331
17.275,-0.311276
17.3,-0.333313
17.325,-0.357623
17.35,-0.38921
17.375,-0.438061
17.4,-0.507054
17.425,-0.534387
17.45,-0.561926
17.475,-0.630842
17.5,-0.587807
17.525,-0.471636
17.55,-0.461287
17.575,-0.57091
17.6,-0.536696
17.625,-0.540765
17.65,-0.50044
17.675,-0.363012
17.7,-0.311695
17.725,-0.288435
17.75,-0.27651
17.775,-0.270438
17.8,-0.267779
17.825,-0.267268
17.85,-0.268188
17.875,-0.270107
17.9,-0.272751
17.925,-0.275937
17.95,-0.279544
17.975,-0.283483
18,-0.287694
18.025,-0.29213
18.05,-0.296757
18.075,-0.301551
18.1,-0.306492
18.125,-0.311564
18.15,-0.316756
18.175,-0.322058
18.2,-0.327463
18.225,-0.332965
18.25,-0.338558
18.275,-0.34424
18.3,-0.350006
