C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_2port.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_2_5CELL_mod_2port
14.7896,-1.739
14.7897,-1.7385
14.7898,-1.73797
14.7899,-1.73743
14.79,-1.73692
14.79,-1.73687
14.7901,-1.7363
14.7902,-1.73571
14.7903,-1.73511
14.7904,-1.7345
14.7905,-1.73393
14.7905,-1.73388
14.7906,-1.73325
14.7907,-1.73261
14.7908,-1.73197
14.7909,-1.73133
14.791,-1.73068
14.791,-1.73029
14.791,-1.73002
14.7911,-1.72937
14.7912,-1.72871
14.7913,-1.72806
14.7913,-1.7274
14.7914,-1.72675
14.7915,-1.7261
14.7915,-1.726
14.7916,-1.72544
14.7916,-1.7248
14.7917,-1.72415
14.7918,-1.72351
14.7918,-1.72287
14.7919,-1.72224
14.7919,-1.72161
14.792,-1.72108
14.792,-1.72099
14.7921,-1.72037
14.7921,-1.71976
14.7922,-1.71916
14.7922,-1.71856
14.7923,-1.71797
14.7923,-1.71738
14.7924,-1.7168
14.7924,-1.71623
14.7925,-1.71567
14.7925,-1.71553
14.7925,-1.71511
14.7926,-1.71456
14.7926,-1.71402
14.7927,-1.71348
14.7927,-1.71295
14.7928,-1.71243
14.7928,-1.71192
14.7928,-1.71142
14.7929,-1.71092
14.7929,-1.71043
14.793,-1.70995
14.793,-1.70948
14.793,-1.70934
14.793,-1.70901
14.7931,-1.70855
14.7931,-1.7081
14.7931,-1.70766
14.7932,-1.70722
14.7932,-1.70679
14.7932,-1.70637
14.7933,-1.70596
14.7933,-1.70555
14.7933,-1.70515
14.7933,-1.70476
14.7934,-1.70437
14.7934,-1.70399
14.7934,-1.70362
14.7934,-1.70326
14.7935,-1.7029
14.7935,-1.70255
14.7935,-1.70254
14.7935,-1.70221
14.7935,-1.70187
14.7936,-1.70154
14.7936,-1.70121
14.7936,-1.70089
14.7936,-1.70058
14.7937,-1.70027
14.7937,-1.69997
14.7937,-1.69968
14.7937,-1.69939
14.7937,-1.69911
14.7938,-1.69883
14.7938,-1.69856
14.7938,-1.69829
14.7938,-1.69803
14.7938,-1.69778
14.7938,-1.69752
14.7939,-1.69728
14.7939,-1.69704
14.7939,-1.6968
14.7939,-1.69657
14.7939,-1.69635
14.7939,-1.69613
14.7939,-1.69591
14.794,-1.6957
14.794,-1.69549
14.794,-1.69529
14.794,-1.69513
14.794,-1.69509
14.794,-1.69489
14.794,-1.6947
14.794,-1.69451
14.7941,-1.69433
14.7941,-1.69415
14.7941,-1.69398
14.7941,-1.6938
14.7941,-1.69364
14.7941,-1.69347
14.7941,-1.69331
14.7941,-1.69315
14.7941,-1.693
14.7941,-1.69285
14.7942,-1.69278
14.7942,-1.6927
14.7942,-1.69256
14.7942,-1.69242
14.7942,-1.69228
14.7942,-1.69214
14.7942,-1.69201
14.7942,-1.69188
14.7942,-1.69176
14.7942,-1.69163
14.7942,-1.69151
14.7942,-1.69139
14.7942,-1.69128
14.7943,-1.69116
14.7943,-1.69105
14.7943,-1.69094
14.7943,-1.69084
14.7943,-1.69074
14.7943,-1.69063
14.7943,-1.69053
14.7943,-1.69044
14.7943,-1.69034
14.7943,-1.69025
14.7943,-1.69016
14.7943,-1.69007
14.7943,-1.68998
14.7943,-1.6899
14.7943,-1.68982
14.7943,-1.68974
14.7943,-1.68966
14.7944,-1.68958
14.7944,-1.6895
14.7944,-1.68943
14.7944,-1.68936
14.7944,-1.68929
14.7944,-1.68922
14.7944,-1.68915
14.7944,-1.68908
14.7944,-1.68902
14.7944,-1.68896
14.7944,-1.68889
14.7944,-1.68883
14.7944,-1.68877
14.7944,-1.68872
14.7944,-1.68866
14.7944,-1.6886
14.7944,-1.68855
14.7944,-1.6885
14.7944,-1.68845
14.7944,-1.6884
14.7944,-1.68835
14.7944,-1.6883
14.7944,-1.68825
14.7944,-1.68821
14.7944,-1.68816
14.7944,-1.68812
14.7944,-1.68807
14.7944,-1.68803
14.7944,-1.68799
14.7945,-1.68795
14.7945,-1.68791
14.7945,-1.68787
14.7945,-1.68784
14.7945,-1.6878
14.7945,-1.68776
14.7945,-1.68773
14.7945,-1.68769
14.7945,-1.68766
14.7945,-1.68763
14.7945,-1.6876
14.7945,-1.68756
14.7945,-1.68753
14.7945,-1.6875
14.7945,-1.68748
14.7945,-1.68745
14.7945,-1.68742
14.7945,-1.68739
14.7945,-1.68737
14.7945,-1.68734
14.7945,-1.68731
14.7945,-1.68729
14.7945,-1.68726
14.7945,-1.68724
14.7945,-1.68722
14.7945,-1.6872
14.7945,-1.68717
14.7945,-1.68715
14.7945,-1.68713
14.7945,-1.68711
14.7945,-1.68709
14.7945,-1.68707
14.7945,-1.68704
14.7945,-1.68702
14.7945,-1.687
14.7945,-1.68697
14.7945,-1.68695
14.7945,-1.68692
14.7945,-1.6869
14.7945,-1.68687
14.7945,-1.68684
14.7945,-1.68682
14.7945,-1.68679
14.7945,-1.68676
14.7945,-1.68673
14.7945,-1.6867
14.7945,-1.68667
14.7945,-1.68664
14.7945,-1.6866
14.7945,-1.68657
14.7945,-1.68654
14.7945,-1.6865
14.7945,-1.68646
14.7945,-1.68643
14.7945,-1.68639
14.7945,-1.68635
14.7945,-1.68631
14.7946,-1.68627
14.7946,-1.68623
14.7946,-1.68619
14.7946,-1.68615
14.7946,-1.6861
14.7946,-1.68606
14.7946,-1.68601
14.7946,-1.68596
14.7946,-1.68591
14.7946,-1.68586
14.7946,-1.68581
14.7946,-1.68576
14.7946,-1.68571
14.7946,-1.68565
14.7946,-1.6856
14.7946,-1.68554
14.7946,-1.68548
14.7946,-1.68542
14.7946,-1.68536
14.7946,-1.68529
14.7946,-1.68523
14.7946,-1.68516
14.7946,-1.6851
14.7946,-1.68503
14.7946,-1.68496
14.7946,-1.68488
14.7946,-1.68481
14.7946,-1.68473
14.7946,-1.68465
14.7947,-1.68457
14.7947,-1.68449
14.7947,-1.68441
14.7947,-1.68432
14.7947,-1.68423
14.7947,-1.68414
14.7947,-1.68405
14.7947,-1.68396
14.7947,-1.68386
14.7947,-1.68376
14.7947,-1.68366
14.7947,-1.68355
14.7947,-1.68345
14.7947,-1.68334
14.7947,-1.68323
14.7947,-1.68311
14.7947,-1.68299
14.7948,-1.68287
14.7948,-1.68275
14.7948,-1.68262
14.7948,-1.6825
14.7948,-1.68236
14.7948,-1.68223
14.7948,-1.68209
14.7948,-1.68195
14.7948,-1.6818
14.7948,-1.68165
14.7948,-1.6815
14.7948,-1.68134
14.7949,-1.68118
