C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P4_2PORT.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-PC2_1_1_P4_2PORT
16.0015,-0.934723
16.002,-0.9373
16.0025,-0.939901
16.003,-0.942523
16.0035,-0.945165
16.004,-0.947827
16.0045,-0.950506
16.005,-0.9532
16.0055,-0.955909
16.006,-0.958629
16.0065,-0.961359
16.007,-0.964096
16.0075,-0.966837
16.008,-0.969581
16.0085,-0.972323
16.009,-0.975062
16.0095,-0.977792
16.01,-0.980512
16.0105,-0.983218
16.011,-0.985904
16.0115,-0.988569
16.012,-0.991206
16.0125,-0.993812
16.013,-0.996382
16.0135,-0.998911
16.014,-1.00139
16.0145,-1.00383
16.015,-1.0062
16.0155,-1.00851
16.016,-1.01076
16.0165,-1.01293
16.017,-1.01502
16.0175,-1.01702
16.018,-1.01894
16.0185,-1.02075
16.019,-1.02246
16.0195,-1.02406
16.02,-1.02554
16.0205,-1.0269
16.021,-1.02813
16.0215,-1.02922
16.022,-1.03018
16.0225,-1.03099
16.023,-1.03164
16.0235,-1.03214
16.024,-1.03248
16.0245,-1.03265
16.025,-1.03265
16.0255,-1.03248
16.026,-1.03213
16.0265,-1.03161
16.027,-1.0309
16.0275,-1.03001
16.028,-1.02894
16.0285,-1.02769
16.029,-1.02625
16.0295,-1.02463
16.03,-1.02283
16.0305,-1.02085
16.031,-1.01869
16.0315,-1.01636
16.032,-1.01386
16.0325,-1.0112
16.033,-1.00837
16.0335,-1.00539
16.034,-1.00227
16.0345,-0.998996
16.035,-0.995589
16.0355,-0.992053
16.036,-0.988394
16.0365,-0.984621
16.037,-0.980741
16.0375,-0.976761
16.038,-0.97269
16.0385,-0.968536
16.039,-0.964306
16.0395,-0.960008
16.04,-0.955651
16.0405,-0.951243
16.041,-0.94679
16.0415,-0.942301
16.042,-0.937783
16.0425,-0.933243
16.043,-0.928688
16.0435,-0.924125
16.044,-0.91956
16.0445,-0.914999
16.045,-0.910448
16.0455,-0.905912
16.046,-0.901397
16.0465,-0.896908
16.047,-0.892449
16.0475,-0.888025
16.048,-0.883639
16.0485,-0.879295
16.049,-0.874996
16.0495,-0.870746
16.05,-0.866547
16.0505,-0.862401
16.051,-0.858312
16.0515,-0.85428
16.052,-0.850308
16.0525,-0.846397
16.053,-0.842548
16.0535,-0.838763
16.054,-0.835042
16.0545,-0.831386
16.055,-0.827795
16.0555,-0.824271
16.056,-0.820812
16.0565,-0.81742
16.057,-0.814093
16.0575,-0.810833
16.058,-0.807638
16.0585,-0.804508
16.059,-0.801443
16.0595,-0.798442
16.06,-0.795505
16.0605,-0.792631
16.061,-0.789819
16.0615,-0.787068
16.062,-0.784377
16.0625,-0.781746
16.063,-0.779174
16.0635,-0.776659
16.064,-0.774201
16.0645,-0.771799
16.065,-0.769451
16.0655,-0.767157
16.066,-0.764915
16.0665,-0.762725
16.067,-0.760586
16.0675,-0.758496
16.068,-0.756454
16.0685,-0.754459
16.069,-0.752511
16.0695,-0.750608
16.07,-0.748749
16.0705,-0.746934
16.071,-0.74516
16.0715,-0.743428
16.072,-0.741736
16.0725,-0.740084
16.073,-0.738469
16.0735,-0.736892
16.074,-0.735352
16.0745,-0.733847
16.075,-0.732376
16.0755,-0.73094
16.076,-0.729536
16.0765,-0.728165
16.077,-0.726825
16.0775,-0.725515
16.078,-0.724236
16.0785,-0.722985
16.079,-0.721762
16.0795,-0.720567
16.08,-0.719399
16.0805,-0.718257
16.081,-0.71714
16.0815,-0.716048
16.082,-0.71498
16.0825,-0.713936
16.083,-0.712914
16.0835,-0.711915
16.084,-0.710938
16.0845,-0.709982
16.085,-0.709046
16.0855,-0.70813
16.086,-0.707234
16.0865,-0.706357
16.087,-0.705499
16.0875,-0.704658
16.088,-0.703836
16.0885,-0.70303
16.089,-0.702241
16.0895,-0.701468
16.09,-0.700711
16.0905,-0.69997
16.091,-0.699244
16.0915,-0.698532
16.092,-0.697834
16.0925,-0.697151
16.093,-0.696481
16.0935,-0.695824
16.094,-0.69518
16.0945,-0.694549
16.095,-0.693929
16.0955,-0.693322
16.096,-0.692726
16.0965,-0.692142
16.097,-0.691569
16.0975,-0.691006
16.098,-0.690454
16.0985,-0.689912
16.099,-0.68938
16.0995,-0.688858
16.1,-0.688346
16.1005,-0.687842
16.101,-0.687348
16.1015,-0.686862
16.102,-0.686385
16.1025,-0.685916
16.103,-0.685456
16.1035,-0.685003
16.104,-0.684558
16.1045,-0.684121
16.105,-0.683691
16.1055,-0.683269
16.106,-0.682853
16.1065,-0.682444
16.107,-0.682042
16.1075,-0.681647
16.108,-0.681258
16.1085,-0.680875
16.109,-0.680498
16.1095,-0.680127
16.11,-0.679762
16.1105,-0.679403
16.111,-0.679049
16.1115,-0.678701
16.112,-0.678358
16.1125,-0.67802
16.113,-0.677687
16.1135,-0.677359
16.114,-0.677036
16.1145,-0.676717
16.115,-0.676403
16.1155,-0.676094
16.116,-0.675789
16.1165,-0.675488
16.117,-0.675191
16.1175,-0.674899
16.118,-0.67461
16.1185,-0.674326
16.119,-0.674045
16.1195,-0.673768
16.12,-0.673494
16.1205,-0.673224
16.121,-0.672958
16.1215,-0.672695
16.122,-0.672436
16.1225,-0.672179
16.123,-0.671926
16.1235,-0.671676
16.124,-0.671429
16.1245,-0.671185
16.125,-0.670944
16.1255,-0.670706
16.126,-0.67047
16.1265,-0.670238
16.127,-0.670008
16.1275,-0.66978
16.128,-0.669555
16.1285,-0.669333
16.129,-0.669113
16.1295,-0.668896
16.13,-0.66868
16.1305,-0.668468
16.131,-0.668257
16.1315,-0.668049
16.132,-0.667842
16.1325,-0.667638
16.133,-0.667436
16.1335,-0.667236
16.134,-0.667038
16.1345,-0.666842
16.135,-0.666648
16.1355,-0.666455
16.136,-0.666265
16.1365,-0.666076
16.137,-0.665889
16.1375,-0.665704
16.138,-0.66552
16.1385,-0.665338
16.139,-0.665158
16.1395,-0.664979
16.14,-0.664802
16.1405,-0.664626
16.141,-0.664452
16.1415,-0.664279
16.142,-0.664108
16.1425,-0.663938
16.143,-0.663769
16.1435,-0.663602
16.144,-0.663436
16.1445,-0.663272
16.145,-0.663108
16.1455,-0.662946
16.146,-0.662785
16.1465,-0.662626
16.147,-0.662467
16.1475,-0.66231
16.148,-0.662153
16.1485,-0.661998
16.149,-0.661844
16.1495,-0.661691
16.15,-0.661539
16.1505,-0.661388
16.151,-0.661238
16.1515,-0.661089
16.152,-0.660941
16.1525,-0.660794
16.153,-0.660647
16.1535,-0.660502
16.154,-0.660358
16.1545,-0.660214
16.155,-0.660071
16.1555,-0.659929
16.156,-0.659788
16.1565,-0.659648
16.157,-0.659509
16.1575,-0.65937
16.158,-0.659232
16.1585,-0.659095
16.159,-0.658958
16.1595,-0.658823
16.16,-0.658688
16.1605,-0.658553
16.161,-0.65842
16.1615,-0.658287
16.162,-0.658154
16.1625,-0.658023
16.163,-0.657892
16.1635,-0.657761
16.164,-0.657631
16.1645,-0.657502
16.165,-0.657373
16.1655,-0.657245
16.166,-0.657118
16.1665,-0.656991
16.167,-0.656865
16.1675,-0.656739
16.168,-0.656613
16.1685,-0.656488
16.169,-0.656364
16.1695,-0.65624
16.17,-0.656117
16.1705,-0.655994
16.171,-0.655872
16.1715,-0.65575
16.172,-0.655628
16.1725,-0.655507
16.173,-0.655386
16.1735,-0.655266
16.174,-0.655146
16.1745,-0.655027
16.175,-0.654908
16.1755,-0.654789
16.176,-0.654671
16.1765,-0.654553
16.177,-0.654436
16.1775,-0.654319
16.178,-0.654202
16.1785,-0.654086
16.179,-0.65397
16.1795,-0.653854
16.18,-0.653739
16.1805,-0.653624
16.181,-0.653509
16.1815,-0.653395
16.182,-0.653281
16.1825,-0.653167
16.183,-0.653054
16.1835,-0.652941
16.184,-0.652828
16.1845,-0.652715
16.185,-0.652603
16.1855,-0.652491
16.186,-0.652379
16.1865,-0.652268
16.187,-0.652157
16.1875,-0.652046
16.188,-0.651935
16.1885,-0.651825
16.189,-0.651715
16.1895,-0.651605
16.19,-0.651495
16.1905,-0.651386
16.191,-0.651276
16.1915,-0.651167
16.192,-0.651059
16.1925,-0.65095
16.193,-0.650842
16.1935,-0.650734
16.194,-0.650626
16.1945,-0.650518
16.195,-0.65041
16.1955,-0.650303
16.196,-0.650196
16.1965,-0.650089
16.197,-0.649982
16.1975,-0.649875
16.198,-0.649769
16.1985,-0.649663
16.199,-0.649557
16.1995,-0.649451
16.2,-0.649345
16.2005,-0.649239
16.201,-0.649134
16.2015,-0.649029
16.202,-0.648924
16.2025,-0.648819
16.203,-0.648714
16.2035,-0.648609
16.204,-0.648505
16.2045,-0.6484
16.205,-0.648296
16.2055,-0.648192
16.206,-0.648088
16.2065,-0.647984
16.207,-0.64788
16.2075,-0.647776
16.208,-0.647673
16.2085,-0.647569
16.209,-0.647466
16.2095,-0.647363
16.21,-0.64726
16.2105,-0.647157
16.211,-0.647054
16.2115,-0.646951
16.212,-0.646849
16.2125,-0.646746
16.213,-0.646644
16.2135,-0.646542
16.214,-0.646439
16.2145,-0.646337
16.215,-0.646235
16.2155,-0.646133
16.216,-0.646031
16.2165,-0.64593
16.217,-0.645828
16.2175,-0.645726
16.218,-0.645625
16.2185,-0.645523
16.219,-0.645422
16.2195,-0.645321
16.22,-0.645219
16.2205,-0.645118
16.221,-0.645017
16.2215,-0.644916
16.222,-0.644815
16.2225,-0.644715
16.223,-0.644614
16.2235,-0.644513
16.224,-0.644412
16.2245,-0.644312
16.225,-0.644211
