Time,Channel A
(us),(V)

-1.71738985,0.01159703
-1.71338985,0.01297037
-1.70938985,0.01052889
-1.70538985,0.00427259
-1.70138985,-0.00350963
-1.69738985,-0.00930815
-1.69338985,-0.01037629
-1.68938985,-0.00686666
-1.68538985,-0.00122074
-1.68138985,0.00396741
-1.67738985,0.00747703
-1.67338985,0.00961333
-1.66938985,0.01098666
-1.66538985,0.01190222
-1.66138985,0.01220740
-1.65738985,0.01190222
-1.65338985,0.01098666
-1.64938985,0.00961333
-1.64538985,0.00824000
-1.64138985,0.00625629
-1.63738985,0.00427259
-1.63338985,0.00305185
-1.62938985,0.00320444
-1.62538985,0.00457778
-1.62138985,0.00671407
-1.61738985,0.00915555
-1.61338985,0.01236000
-1.60938985,0.01693777
-1.60538985,0.02136296
-1.60138985,0.02395703
-1.59738985,0.02273629
-1.59338985,0.01831111
-1.58938985,0.01190222
-1.58538985,0.00549333
-1.58138985,0.00091556
-1.57738985,-0.00030519
-1.57338985,-0.00030519
-1.56938985,-0.00564592
-1.56538985,-0.01663259
-1.56138985,-0.02731407
-1.55738985,-0.03830073
-1.55338985,-0.06698813
-1.54938985,-0.12207404
-1.54538985,-0.19028291
-1.54138986,-0.26215398
-1.53738986,-0.35660878
-1.53338986,-0.48554948
-1.52938986,-0.62852871
-1.52538986,-0.76693016
-1.52138986,-0.91982788
-1.51738986,-1.10232854
-1.51338986,-1.28910184
-1.50938986,-1.45420694
-1.50538986,-1.61519206
-1.50138986,-1.78853726
-1.49738986,-1.94799650
-1.49338986,-2.06762910
-1.48938986,-2.17444372
-1.48538986,-2.30017996
-1.48138986,-2.42454290
-1.47738986,-2.50892663
-1.47338986,-2.56691194
-1.46938986,-2.63100076
-1.46538986,-2.68868065
-1.46138986,-2.70455027
-1.45738986,-2.69722581
-1.45338986,-2.71202731
-1.44938986,-2.74208808
-1.44538986,-2.74300361
-1.44138986,-2.72179317
-1.43738986,-2.73018575
-1.43338986,-2.77275920
-1.42938986,-2.79427481
-1.42538986,-2.76528215
-1.42138986,-2.71630001
-1.41738986,-2.66487622
-1.41338986,-2.57835627
-1.40938986,-2.42973113
-1.40538986,-2.24173713
-1.40138986,-2.03756833
-1.39738986,-1.80700099
-1.39338986,-1.55262911
-1.38938986,-1.31839967
-1.38538986,-1.13025296
