C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
18.1887,-0.55176
18.1901,-0.561636
18.1913,-0.571649
18.1926,-0.581791
18.1938,-0.592054
18.195,-0.602428
18.1962,-0.612904
18.1973,-0.623471
18.1984,-0.634119
18.1995,-0.644837
18.2,-0.649976
18.2006,-0.655615
18.2016,-0.666441
18.2026,-0.677303
18.2036,-0.688191
18.2046,-0.699092
18.2055,-0.709996
18.2064,-0.720892
18.2073,-0.731768
18.2082,-0.742614
18.2091,-0.753419
18.2099,-0.764173
18.2107,-0.774867
18.2115,-0.78549
18.2123,-0.796034
18.2131,-0.80649
18.2138,-0.816849
18.2146,-0.827103
18.2153,-0.837244
18.216,-0.847266
18.2167,-0.857161
18.2173,-0.866924
18.218,-0.876547
18.2186,-0.886026
18.2192,-0.895355
18.2199,-0.90453
18.2205,-0.913546
18.221,-0.9224
18.2216,-0.931088
18.2222,-0.939607
18.2227,-0.947954
18.2232,-0.956127
18.2237,-0.964125
18.2242,-0.971946
18.2247,-0.979589
18.2252,-0.987053
18.2257,-0.994338
18.2262,-1.00144
18.2266,-1.00837
18.227,-1.01512
18.2275,-1.02169
18.2279,-1.02809
18.2283,-1.03431
18.2287,-1.04036
18.2291,-1.04624
18.2295,-1.05196
18.2299,-1.0575
18.2302,-1.06288
18.2306,-1.0681
18.2309,-1.07316
18.2313,-1.07807
18.2316,-1.08283
18.2319,-1.08743
18.2322,-1.09189
18.2326,-1.09621
18.2329,-1.10039
18.2332,-1.10443
18.2334,-1.10833
18.2337,-1.11211
18.234,-1.11577
18.2343,-1.1193
18.2345,-1.12271
18.2348,-1.126
18.235,-1.12918
18.2353,-1.13225
18.2355,-1.13522
18.2358,-1.13808
18.236,-1.14085
18.2362,-1.14351
18.2364,-1.14608
18.2367,-1.14856
18.2369,-1.15096
18.2371,-1.15327
18.2373,-1.15549
18.2375,-1.15764
18.2377,-1.15971
18.2378,-1.16171
18.238,-1.16363
18.2382,-1.16548
18.2384,-1.16727
18.2385,-1.169
18.2387,-1.17066
18.2389,-1.17226
18.239,-1.1738
18.2392,-1.17529
18.2393,-1.17673
18.2395,-1.17811
18.2396,-1.17944
18.2398,-1.18073
18.2399,-1.18196
18.24,-1.18316
18.2402,-1.18431
18.2403,-1.18542
18.2404,-1.18648
18.2406,-1.18751
18.2407,-1.18851
18.2408,-1.18947
18.2409,-1.19039
18.241,-1.19128
18.2411,-1.19214
18.2412,-1.19297
18.2413,-1.19377
18.2414,-1.19454
18.2415,-1.19528
18.2416,-1.196
18.2417,-1.19669
18.2418,-1.19735
18.2419,-1.198
18.242,-1.19862
18.2421,-1.19922
18.2422,-1.1998
18.2423,-1.20035
18.2423,-1.20089
18.2424,-1.20141
18.2425,-1.20192
18.2426,-1.2024
18.2426,-1.20287
18.2427,-1.20332
18.2428,-1.20376
18.2429,-1.20418
18.2429,-1.20459
18.243,-1.20498
18.2431,-1.20536
18.2431,-1.20573
18.2432,-1.20609
18.2432,-1.20643
18.2433,-1.20676
18.2434,-1.20708
18.2434,-1.20739
18.2435,-1.2077
18.2435,-1.20799
18.2436,-1.20827
18.2436,-1.20854
18.2437,-1.2088
18.2437,-1.20906
18.2438,-1.2093
18.2438,-1.20954
18.2439,-1.20977
18.2439,-1.21
18.2439,-1.21021
18.244,-1.21042
18.244,-1.21063
18.2441,-1.21082
18.2441,-1.21101
18.2442,-1.2112
18.2442,-1.21138
18.2442,-1.21155
18.2443,-1.21172
18.2443,-1.21188
18.2443,-1.21204
18.2444,-1.21219
18.2444,-1.21234
18.2444,-1.21248
18.2445,-1.21262
18.2445,-1.21276
18.2445,-1.21289
18.2445,-1.21302
18.2446,-1.21314
18.2446,-1.21326
18.2446,-1.21338
18.2447,-1.21349
18.2447,-1.2136
18.2447,-1.21371
18.2447,-1.21381
18.2448,-1.21391
18.2448,-1.21401
18.2448,-1.2141
18.2448,-1.2142
18.2449,-1.21429
18.2449,-1.21437
18.2449,-1.21446
18.2449,-1.21454
18.2449,-1.21462
18.245,-1.2147
18.245,-1.21477
18.245,-1.21484
18.245,-1.21491
18.245,-1.21498
18.245,-1.21505
18.2451,-1.21512
18.2451,-1.21518
18.2451,-1.21524
18.2451,-1.2153
18.2451,-1.21536
18.2451,-1.21542
18.2452,-1.21547
18.2452,-1.21553
18.2452,-1.21558
18.2452,-1.21563
18.2452,-1.21568
18.2452,-1.21573
18.2452,-1.21577
18.2453,-1.21582
18.2453,-1.21587
18.2453,-1.21591
18.2453,-1.21595
18.2453,-1.21599
18.2453,-1.21603
18.2453,-1.21607
18.2453,-1.21611
18.2453,-1.21615
18.2454,-1.21618
18.2454,-1.21622
18.2454,-1.21625
18.2454,-1.21628
18.2454,-1.21632
18.2454,-1.21635
18.2454,-1.21638
18.2454,-1.21641
18.2454,-1.21644
18.2454,-1.21647
18.2454,-1.21649
18.2454,-1.21651
18.2455,-1.21652
18.2455,-1.21655
18.2455,-1.21657
18.2455,-1.2166
18.2455,-1.21662
18.2455,-1.21665
18.2455,-1.21667
18.2455,-1.21669
18.2455,-1.21672
18.2455,-1.21675
18.2455,-1.21678
18.2455,-1.21681
18.2455,-1.21684
18.2456,-1.21687
18.2456,-1.2169
18.2456,-1.21693
18.2456,-1.21696
18.2456,-1.21699
18.2456,-1.21703
18.2456,-1.21706
18.2456,-1.2171
18.2456,-1.21713
18.2456,-1.21717
18.2457,-1.2172
18.2457,-1.21724
18.2457,-1.21728
18.2457,-1.21732
18.2457,-1.21736
18.2457,-1.2174
18.2457,-1.21744
18.2457,-1.21748
18.2458,-1.21752
18.2458,-1.21757
18.2458,-1.21761
18.2458,-1.21766
18.2458,-1.2177
18.2458,-1.21775
18.2459,-1.2178
18.2459,-1.21785
18.2459,-1.2179
18.2459,-1.21795
18.2459,-1.218
18.2459,-1.21805
18.246,-1.2181
18.246,-1.21816
18.246,-1.21821
18.246,-1.21827
18.246,-1.21832
18.2461,-1.21838
18.2461,-1.21844
18.2461,-1.2185
18.2461,-1.21856
18.2461,-1.21862
18.2462,-1.21868
18.2462,-1.21875
18.2462,-1.21881
18.2462,-1.21887
18.2463,-1.21894
18.2463,-1.219
18.2463,-1.21907
18.2463,-1.21914
18.2464,-1.21921
18.2464,-1.21928
18.2464,-1.21935
18.2465,-1.21942
18.2465,-1.21949
18.2465,-1.21956
18.2466,-1.21963
